target_vol,exposure_cap,min_exposure,vol_lookback_days,dual_trend_caps,is_current_config,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_exposure,average_cash,average_turnover,window_sharpe_mean,window_sharpe_std,window_cagr_mean,window_cagr_std,Sharpe_delta_vs_current,CAGR_delta_vs_current,DD_delta_vs_current
0.18,0.5,none,90,0.60/0.40/0.25,False,878,8.911410425079126,0.14058188135844119,0.13599017923095974,1.0712096396721347,1.735800636104571,0.7734050417102654,-0.18177006067553703,0.571753986332574,0.44543369815744516,0.5545663018425548,0.1681641269895731,1.1727251861990233,0.06371832997045371,0.16895064133160803,0.017627048352713257,0.017346517954604623,-0.022331793895741248,0.03836278542324589
0.18,0.5,none,90,0.60/0.35/0.20,False,878,8.713436504386971,0.13926289396454816,0.13389539238341835,1.0768675931677738,1.738869468885099,0.8403433869345023,-0.16572141356709758,0.571753986332574,0.43602915805996634,0.5639708419400337,0.16617552857705734,1.1898828288192669,0.06931317794161294,0.1690135391503454,0.018163514610157958,0.023004471450243758,-0.02365078128963427,0.054411432531685344
0.18,0.5,none,90,0.65/0.45/0.25,False,878,8.970544228126228,0.14097104076339884,0.13645433392799483,1.0706279092149271,1.7353947790808901,0.7731441514258404,-0.1823347437905578,0.571753986332574,0.447777048958724,0.552222951041276,0.16864485485325653,1.176393029529773,0.06622059458952544,0.16999646386284423,0.0181548370467328,0.01676478749739707,-0.021942634490783597,0.03779810230822511
0.18,0.55,0.2,40,0.60/0.40/0.25,False,878,8.840907227356057,0.14011502944591236,0.13697910593704266,1.0615199889206797,1.717887003694488,0.6699069394679874,-0.2091559606132547,0.571753986332574,0.47381249280946913,0.5261875071905309,0.18560002698768677,1.1242772478984082,0.05198020915756611,0.16024151582578333,0.011860026931914203,0.00765686720314962,-0.022798645808270068,0.01097688548552822
0.18,0.55,0.2,40,0.60/0.35/0.20,False,878,8.584394171188192,0.13838944692440958,0.13499062067276726,1.0634872625828806,1.7094715779437273,0.7165420063889651,-0.19313514865908188,0.571753986332574,0.4644772987925082,0.5355227012074918,0.1837247680040377,1.1388989707433368,0.057339680454102857,0.16007694656573007,0.012678044302474652,0.009624140865350572,-0.024524228329772857,0.02699769743970104
0.18,0.55,0.2,40,0.65/0.45/0.25,False,878,8.964486356022356,0.1409312740928106,0.1373545779438584,1.064405217028513,1.7268885467858632,0.6716950045954847,-0.2098143846963455,0.571753986332574,0.47625441621325815,0.5237455837867419,0.18630635414954674,1.1297368295291217,0.05266776737019753,0.16154199892017795,0.012120652286636792,0.010542095310982935,-0.021982401161371845,0.010318461402437418
0.18,0.55,0.2,60,0.60/0.40/0.25,False,878,10.027229979328112,0.14758129590783486,0.1408757333035436,1.0840287010474292,1.7656270636625127,0.7733534333570163,-0.19083292262272067,0.571753986332574,0.4757771859137568,0.5242228140862433,0.18468019644608893,1.1583973229591193,0.050055184839203154,0.17039306816764066,0.01343446989382486,0.03016557932989916,-0.015332379346347569,0.02929992347606225
0.18,0.55,0.2,60,0.60/0.35/0.20,False,878,9.804020235448288,0.14623627982358123,0.1388503281573207,1.0890136032719158,1.7645920261867816,0.8358172178038177,-0.1749620332156231,0.571753986332574,0.46626954465235937,0.5337304553476406,0.18263728855054917,1.1744083234378386,0.05585080710369793,0.1704319231840794,0.014115411845874752,0.035150481554385715,-0.016677395430601205,0.04517081288315983
0.18,0.55,0.2,60,0.65/0.45/0.25,False,878,10.149583355743754,0.14830772139924386,0.14127193459819537,1.0860380197739956,1.7721048198323819,0.7746483135786993,-0.1914516804588341,0.571753986332574,0.4781249629448157,0.5218750370551843,0.18521686029585785,1.1629763059886566,0.051047409661522,0.1715602467566113,0.0137291042303918,0.03217489805646556,-0.01460595385493857,0.028681165639948825
0.18,0.55,0.2,90,0.60/0.40/0.25,False,878,10.544302968812763,0.15060103897130417,0.1438016153250217,1.083782952620675,1.7522084936311642,0.8268093367313418,-0.18214724033799767,0.571753986332574,0.4769446275118782,0.5230553724881217,0.18188521799624996,1.1944117164282344,0.06961567542067872,0.18066351975760303,0.018506959352152224,0.029919830903144984,-0.012312636282878264,0.037985605760785246
0.18,0.55,0.2,90,0.60/0.35/0.20,False,878,10.313713090846324,0.14927046526098353,0.14182430055231016,1.0884126111440298,1.7506586595901583,0.8422845664221552,-0.17722094314876569,0.571753986332574,0.4675400874143995,0.5324599125856004,0.17995356719193467,1.2103040439225943,0.07502260895878904,0.18072755221590753,0.0190584951105107,0.03454948942649971,-0.013643209993198901,0.04291190295001723
0.18,0.55,0.2,90,0.65/0.45/0.25,False,878,10.613178992385187,0.15099361685018153,0.14424007008184936,1.083385265298328,1.7526729694081995,0.8264038225380101,-0.1827116631509006,0.571753986332574,0.47928797831315717,0.5207120216868428,0.1823374720558332,1.1980285294122694,0.07204457034615569,0.1817200110938631,0.019032953986939386,0.029522143580797966,-0.0119200584040009,0.037421182947882325
0.18,0.55,0.3,40,0.60/0.40/0.25,False,878,8.904022934583407,0.14053311059712614,0.13792750618664806,1.0579195132700423,1.7093416639701957,0.6719058361285832,-0.20915596061325503,0.571753986332574,0.4748255981601738,0.5251744018398262,0.18526433439961337,1.1217044337393876,0.05213496022855198,0.16159016452353098,0.01240245779283585,0.004056391552512251,-0.02238056465705629,0.010976885485527887
0.18,0.55,0.3,40,0.60/0.35/0.20,False,878,8.630004018737266,0.13869942544683078,0.13591345793307924,1.0592579645818363,1.7003263443089565,0.7181469888303981,-0.19313514865908166,0.571753986332574,0.4654195930246066,0.5345804069753934,0.1833640732329076,1.1353504383134865,0.057574819815112754,0.16128215920910494,0.013212640216019039,0.0053948428643062485,-0.02421424980735165,0.026997697439701263
0.18,0.55,0.3,40,0.65/0.45/0.25,False,878,9.028394651160975,0.14134965456163084,0.13830034714829842,1.0608149116484187,1.718327736359848,0.6736890550483428,-0.20981438469634606,0.571753986332574,0.4772675215639626,0.5227324784360374,0.18597066156147332,1.1271402346363821,0.0528458405062535,0.16289231769954987,0.012667936274668236,0.00695178993088863,-0.02156402069255159,0.010318461402436863
0.18,0.55,0.3,60,0.60/0.40/0.25,False,878,9.964967282926747,0.14720871346565567,0.1413994004998255,1.0781493354409806,1.7536591610025152,0.759517973637433,-0.19381860413474283,0.571753986332574,0.4764947555771521,0.5235052444228478,0.18442411823215438,1.150404263920099,0.04951490114728753,0.1700874366456432,0.01346364687555372,0.024286213723450523,-0.01570496178852676,0.026314241964040086
0.18,0.55,0.3,60,0.60/0.35/0.20,False,878,9.742192530575718,0.14585908560462335,0.13938136090086342,1.0829397965438794,1.7520794539889517,0.8194041767528013,-0.1780062754654792,0.571753986332574,0.46698450500767597,0.533015494992324,0.18237814093280286,1.16602538256487,0.055234296278941296,0.17011957141515688,0.01414617450413446,0.029076674826349347,-0.017054589649559082,0.04212657063330372
0.18,0.55,0.3,60,0.65/0.45/0.25,False,878,10.086629819381356,0.14793490311025836,0.1417941640218994,1.0801786142305954,1.760170544024095,0.7608447198600795,-0.19443507886532196,0.571753986332574,0.4788425326082111,0.5211574673917889,0.18496078208192326,1.1549845691272924,0.0504477420148224,0.1712543091946817,0.013757432749300042,0.02631549251306531,-0.014978772143924068,0.025697767233460955
0.18,0.55,0.3,90,0.60/0.40/0.25,False,878,10.620443660923193,0.15103489579245566,0.14401459109408077,1.0851097407634844,1.7560930761908373,0.829191238429915,-0.18214724033799767,0.571753986332574,0.47729974106110484,0.5227002589388952,0.18185166490500906,1.1967847500514366,0.07012201549362704,0.18162608548981973,0.018896599102936975,0.031246619045954382,-0.011878779461726774,0.037985605760785246
