date,ticker,period_return_20d,was_in_universe,was_selected,was_underweighted,expected_return_rank_pct,signal_rank_pct,volatility_rank_pct,expected_daily_return,signal_strength,quality_score,target_confidence,filter_status,diagnosis
2022-12-30,META,0.2379093049199134,True,False,False,0.7391304347826086,0.30434782608695654,0.30434782608695654,-7.013436949926042e-05,0.5612510863527064,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-12-30,CCJ,0.2355536009976435,True,False,False,1.0,0.5217391304347826,0.17391304347826086,-0.0001356690210244,0.3580404549793581,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-09,TSLA,0.6432328886600771,True,False,False,0.391304347826087,1.0,0.391304347826087,1.1174931018349565e-05,0.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-01-09,META,0.4800339330385839,True,False,False,0.43478260869565216,0.30434782608695654,0.34782608695652173,3.527349828758027e-06,0.4427013947531519,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-01-09,NVDA,0.4187995884091104,True,False,False,0.5217391304347826,0.8260869565217391,0.13043478260869565,-1.2729745937994171e-05,0.295443595378313,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-09,AMD,0.277662200944234,True,False,False,0.8260869565217391,0.782608695652174,0.5217391304347826,-0.0001027042193345,0.2954470509228813,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-09,GOOGL,0.222903925185818,True,False,False,0.6956521739130435,0.9565217391304348,0.21739130434782608,-6.274580105248145e-05,0.1866407611956693,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-17,TSLA,0.5913757035387648,True,False,False,0.5652173913043478,1.0,0.17391304347826086,-0.0002345640392776,0.0,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-17,META,0.3259455889350333,True,True,False,0.6086956521739131,0.391304347826087,0.21739130434782608,-0.0003599810998578,0.2542969715480577,0.5,0.5,selected,selected
2023-01-17,NVDA,0.2976500455880251,True,False,False,0.5217391304347826,0.782608695652174,0.34782608695652173,-0.00014967369198,0.062246150620174,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-17,AMD,0.2005866929029469,True,False,False,0.43478260869565216,0.8260869565217391,0.30434782608695654,-8.424581038446884e-05,0.0319232697062614,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-17,CCJ,0.1471282360304158,True,False,False,0.9130434782608695,0.30434782608695654,0.6521739130434783,-0.000554680486506,0.3599145986950187,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-24,TSLA,0.3959274547387452,True,False,False,0.6521739130434783,1.0,0.391304347826087,-0.0003069738764127,0.0,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-24,META,0.1954729345175792,True,True,False,0.782608695652174,0.5217391304347826,0.34782608695652173,-0.0004238791385105,0.3373585198207585,0.5,0.5,selected,selected
2023-01-24,NVDA,0.0772904421286744,True,False,False,0.391304347826087,0.6521739130434783,0.8695652173913043,-3.525140718339577e-05,0.2456668687143231,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-24,VIST,0.0602705737048885,True,False,False,1.0,0.782608695652174,0.9130434782608695,-0.0007861080421499,0.1272990054616763,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-24,AAPL,0.0447625407805674,True,False,False,0.6956521739130435,0.21739130434782608,0.8260869565217391,-0.0004103372358919,0.5790807391744653,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-31,VIST,0.191823975948693,True,False,False,1.0,0.9565217391304348,0.21739130434782608,-0.0014401596588324,0.1638091208467063,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-01-31,TSLA,0.1705923267724005,True,True,False,0.5217391304347826,0.391304347826087,0.7391304347826086,-0.0001241690873529,0.7606616800616129,0.5,0.5,selected,selected
2023-01-31,META,0.1641269836067118,True,False,False,0.30434782608695654,0.4782608695652174,0.8260869565217391,0.0004833666125301,0.7325961375723461,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-01-31,NVDA,0.16179552602432,True,True,False,0.2608695652173913,0.43478260869565216,1.0,0.0007954273853974,0.7476923988854222,0.5,0.5,selected,selected
2023-01-31,AMAT,0.0517535598082201,True,False,False,0.6086956521739131,0.5652173913043478,0.08695652173913043,-0.0006197287752002,0.5744827659644046,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-07,VIST,0.1659574112839434,True,False,False,1.0,0.7391304347826086,0.4782608695652174,-0.0026328985740555,0.4113301366626207,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-07,NVDA,0.0905605641891236,True,True,False,0.08695652173913043,0.043478260869565216,0.21739130434782608,0.008735651676002,1.0,0.5,0.5,selected,selected
