model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,average_exposure,average_cash,average_turnover,base_CAGR,base_Sharpe,base_max_drawdown,return_lost_vs_base,DD_improvement_vs_base,CAGR_QQQ,CAGR_SPY,Sharpe_QQQ,Sharpe_SPY,max_drawdown_QQQ,max_drawdown_SPY,beats_SPY_CAGR,beats_QQQ_CAGR,beats_SPY_Sharpe,beats_QQQ_Sharpe
2010-01-01_realized_volatility_filter,2011-01-03,2026-06-09,777,9.535991568752413,0.1648663960099821,0.18405757248178717,0.9517193783951228,1.4615494254328345,0.41562823592505777,-0.3966679396625721,0.5752895752895753,2010-01-01,realized_volatility_filter,0.5671515641808483,0.43284843581915156,0.1041600857050875,0.1659861414201462,0.922253526528037,-0.3773666480722438,0.0011197454101641025,-0.019301291590328284,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,False,False
2010-01-01_drawdown_aware_trend_filter,2011-01-03,2026-06-09,777,9.58916682140203,0.16524650374371763,0.18350427338012826,0.9559860170679179,1.4553284921577128,0.5880240063448936,-0.28101999571560965,0.5752895752895753,2010-01-01,drawdown_aware_trend_filter,0.5658107134039827,0.43418928659601724,0.10238436375822453,0.1659861414201462,0.922253526528037,-0.3773666480722438,0.0007396376764285673,0.09634665235663414,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,True,False
2015-01-01_base_growth_v2,2016-01-04,2026-06-05,525,7.411478846837497,0.22681888949580498,0.2262234897803246,1.0500464367883957,1.5535935290663971,0.566204082389228,-0.40059564484009125,0.5942857142857143,2015-01-01,base_growth_v2,0.5963223132929956,0.4036776867070043,0.10476928741210542,0.2268188894958054,1.0500464367883973,-0.4005956448400929,4.163336342344337e-16,1.6653345369377348e-15,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,False
2015-01-01_spy_trend_filter,2016-01-04,2026-06-05,525,8.884309851058465,0.24596833463051282,0.2100390024310681,1.1903063871212312,1.8485622251171714,0.7382752772963744,-0.33316615386508586,0.5942857142857143,2015-01-01,spy_trend_filter,0.54386062255391,0.45613937744609,0.09189753986360039,0.2268188894958054,1.0500464367883973,-0.4005956448400929,-0.019149445134707427,0.06742949097500706,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,True
2015-01-01_qqq_trend_filter,2016-01-04,2026-06-05,525,8.546837403756733,0.24182039710080772,0.21306565151185683,1.1602941482320246,1.745330926745408,0.7464092221348736,-0.3239783083187999,0.5942857142857143,2015-01-01,qqq_trend_filter,0.5438606225539099,0.45613937744609,0.09165944462550515,0.2268188894958054,1.0500464367883973,-0.4005956448400929,-0.015001507605002323,0.07661733652129299,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,True
2015-01-01_dual_trend_filter,2016-01-04,2026-06-05,525,9.015101400900434,0.2475415649772943,0.2091865364809956,1.200583085515422,1.8429331568309752,0.783925415647351,-0.3157718324170917,0.5942857142857143,2015-01-01,dual_trend_filter,0.53386062255391,0.46613937744608996,0.08933999074054086,0.2268188894958054,1.0500464367883973,-0.4005956448400929,-0.0207226754814889,0.08482381242300119,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,True
2015-01-01_realized_volatility_filter,2016-01-04,2026-06-05,525,8.107301787999788,0.23621454677084142,0.21495024535760604,1.130124809930609,1.7277260404239065,0.5957693447612067,-0.3964865746248152,0.5942857142857143,2015-01-01,realized_volatility_filter,0.5602020275581167,0.43979797244188323,0.09604027196096505,0.2268188894958054,1.0500464367883973,-0.4005956448400929,-0.009395657275036023,0.0041090702152777325,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,True
2015-01-01_drawdown_aware_trend_filter,2016-01-04,2026-06-05,525,7.394241748555768,0.22657733761329935,0.21393884487616716,1.0964021629173732,1.6522594344209443,0.7036283136722555,-0.322012820136225,0.5942857142857143,2015-01-01,drawdown_aware_trend_filter,0.5470987177920053,0.4529012822079947,0.09235727887952318,0.2268188894958054,1.0500464367883973,-0.4005956448400929,0.00024155188250604698,0.0785828247038679,0.2106725401099707,0.1537119926155845,1.0992842672487473,0.9843063851411272,-0.3457823929358508,-0.3357198172925849,True,True,True,False
2020-01-01_base_growth_v2,2020-12-31,2026-06-10,274,2.2948289768423797,0.2450533203067775,0.3002204639996852,0.9051637876655658,1.7371035732436033,0.4619297615995249,-0.5304990946204267,0.5218978102189781,2020-01-01,base_growth_v2,0.5907278279147177,0.4092721720852822,0.11018913816833799,0.2450533203067777,0.9051637876655654,-0.5304990946204275,1.942890293094024e-16,8.881784197001252e-16,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,False,True
2020-01-01_spy_trend_filter,2020-12-31,2026-06-10,274,2.8751870921738676,0.28274360687331934,0.2812118882435024,1.0564364855231196,2.2095440313371855,0.6189932185314592,-0.456779813426905,0.5218978102189781,2020-01-01,spy_trend_filter,0.530508849812528,0.469491150187472,0.0965942476573891,0.2450533203067777,0.9051637876655654,-0.5304990946204275,-0.037690286566541636,0.07371928119352256,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,True,True
