date,variant,return,selected_tickers,selected_count,turnover,no_hindsight
2022-07-19,raw_target_research,0.0187366143004954,"QCOM,TSLA",2,0.6666666666666666,True
2022-07-19,winner_retention_rule,0.018659638309632066,"QCOM,TSLA,COST",3,0.5,True
2022-07-19,soft_exit_rule,0.018659638309632066,"QCOM,TSLA,COST",3,0.5,True
2022-07-19,turnover_penalty_overlay,0.018659638309632066,"QCOM,TSLA,COST",3,0.5,True
2022-07-26,raw_target_research,0.0415148759639653,"NFLX,QCOM",2,0.6666666666666666,True
2022-07-26,winner_retention_rule,0.025698256400902637,"NFLX,QCOM,COST",3,0.5,True
2022-07-26,soft_exit_rule,0.0595722001152806,"NFLX,QCOM,TSLA,COST",4,0.25,True
2022-07-26,turnover_penalty_overlay,0.0595722001152806,"NFLX,QCOM,TSLA,COST",4,0.25,True
2022-08-02,raw_target_research,-0.0001400350398207,"TSLA,VIST",2,1.0,True
2022-08-02,winner_retention_rule,-0.0241122689560917,"TSLA,VIST",2,1.0,True
2022-08-02,soft_exit_rule,-0.020760878883020466,"TSLA,VIST,COST",3,0.6,True
2022-08-02,turnover_penalty_overlay,-0.020760878883020466,"TSLA,VIST,COST",3,0.6,True
2022-08-09,raw_target_research,0.0194529088833829,"TSLA,VIST",2,0.0,True
2022-08-09,winner_retention_rule,0.04667586725537945,"TSLA,VIST",2,0.0,True
2022-08-09,soft_exit_rule,0.04667586725537945,"TSLA,VIST",2,0.3333333333333333,True
2022-08-09,turnover_penalty_overlay,0.04667586725537945,"TSLA,VIST",2,0.3333333333333333,True
2022-08-16,raw_target_research,-0.011546508840242,"NFLX,TSLA,VIST,YPF",4,0.5,True
2022-08-16,winner_retention_rule,0.020557117464289926,"NFLX,TSLA,VIST,YPF",4,0.5,True
2022-08-16,soft_exit_rule,0.020557117464289926,"NFLX,TSLA,VIST,YPF",4,0.5,True
2022-08-16,turnover_penalty_overlay,0.020557117464289926,"NFLX,TSLA,VIST,YPF",4,0.5,True
2022-08-23,raw_target_research,0.0245392723134611,"VIST,YPF",2,0.5,True
2022-08-23,winner_retention_rule,0.054734267880277104,"VIST,YPF",2,0.5,True
2022-08-23,soft_exit_rule,0.03070016447012147,"VIST,YPF,NFLX",3,0.25,True
2022-08-23,turnover_penalty_overlay,0.03070016447012147,"VIST,YPF,NFLX",3,0.25,True
2022-08-30,raw_target_research,-0.0042974025603497,"CCJ,YPF",2,0.6666666666666666,True
2022-08-30,winner_retention_rule,0.06169130895416034,"CCJ,YPF,VIST",3,0.3333333333333333,True
2022-08-30,soft_exit_rule,0.055683838097631104,"CCJ,YPF,VIST,NFLX",4,0.25,True
2022-08-30,turnover_penalty_overlay,0.055683838097631104,"CCJ,YPF,VIST,NFLX",4,0.25,True
2022-09-07,raw_target_research,0.0103860549666248,"CCJ,YPF",2,0.0,True
2022-09-07,winner_retention_rule,0.0708753158574181,"CCJ,YPF",2,0.3333333333333333,True
2022-09-07,soft_exit_rule,0.0708753158574181,"CCJ,YPF",2,0.5,True
2022-09-07,turnover_penalty_overlay,0.0708753158574181,"CCJ,YPF",2,0.5,True
