date,variant,portfolio_return,selected_count,cash_proxy,turnover,selected_tickers
2022-05-12,no_regime_adjustment,0.07589067387951638,2,2.220446049250313e-16,1.0,"NVDA,TSLA"
2022-05-19,no_regime_adjustment,-0.0105148540763992,2,2.220446049250313e-16,1.0,"AMD,META"
2022-05-26,no_regime_adjustment,0.030988009253347593,2,2.220446049250313e-16,0.6666666666666666,"AMD,YPF"
2022-06-03,no_regime_adjustment,-0.00340644516273005,2,0.0,0.6666666666666666,"ADBE,AMD"
2022-06-10,no_regime_adjustment,-0.07399978086470993,2,2.220446049250313e-16,0.6666666666666666,"ADBE,CCJ"
2022-06-17,no_regime_adjustment,0.011999764051604194,2,0.6000000000000002,1.0,"COST,PEP"
2022-06-27,no_regime_adjustment,-0.05072395004857765,2,0.0,1.0,"AMZN,TSLA"
2022-07-05,no_regime_adjustment,0.0037981003402582777,2,0.6000000000000002,1.0,"COST,PEP"
2022-07-12,no_regime_adjustment,0.00041338817986620005,2,1.1102230246251565e-16,0.6666666666666666,"AAPL,COST"
2022-07-19,no_regime_adjustment,0.021479826723237845,2,2.220446049250313e-16,0.6666666666666666,"AAPL,QCOM"
2022-07-26,no_regime_adjustment,0.04151487596396534,2,3.3306690738754696e-16,0.6666666666666666,"NFLX,QCOM"
2022-08-02,no_regime_adjustment,0.03677815101003883,2,3.3306690738754696e-16,1.0,"AMAT,TXN"
2022-08-09,no_regime_adjustment,0.013097281628008797,2,2.220446049250313e-16,1.0,"AAPL,YPF"
2022-08-16,no_regime_adjustment,-0.001983775075130625,4,2.220446049250313e-16,0.5,"AAPL,MSFT,NFLX,YPF"
2022-08-23,no_regime_adjustment,0.02453927231346114,2,2.220446049250313e-16,0.8,"VIST,YPF"
2022-08-30,no_regime_adjustment,-0.00411580151868918,2,0.6,0.0,"VIST,YPF"
2022-09-07,no_regime_adjustment,0.010386054966624836,2,0.6000000000000002,0.6666666666666666,"CCJ,YPF"
2022-09-14,no_regime_adjustment,-0.027565493133555708,2,0.6000000000000002,0.0,"CCJ,YPF"
2022-09-21,no_regime_adjustment,-0.00027328413249110006,2,0.6000000000000004,0.0,"CCJ,YPF"
2022-09-28,no_regime_adjustment,-0.024496979015179495,2,2.220446049250313e-16,0.6666666666666666,"NFLX,YPF"
2022-10-05,no_regime_adjustment,0.00363679350263498,2,0.6000000000000001,0.6666666666666666,"VIST,YPF"
2022-10-12,no_regime_adjustment,0.052243186117979484,2,2.220446049250313e-16,0.6666666666666666,"NFLX,VIST"
2022-10-19,no_regime_adjustment,-0.013226455123106396,2,2.220446049250313e-16,0.6666666666666666,"NFLX,PEP"
2022-10-26,no_regime_adjustment,-0.024047154851706297,2,2.220446049250313e-16,0.6666666666666666,"PEP,VIST"
2022-11-02,no_regime_adjustment,0.00017098306347944,2,0.6000000000000002,0.6666666666666666,"VIST,YPF"
2022-11-09,no_regime_adjustment,0.08454512779005859,2,2.220446049250313e-16,1.0,"AMAT,TXN"
2022-11-16,no_regime_adjustment,-0.006219018023048698,2,2.220446049250313e-16,0.6666666666666666,"AMAT,NVDA"
2022-11-23,no_regime_adjustment,-0.016127793491765696,2,2.220446049250313e-16,0.0,"AMAT,NVDA"
2022-12-01,no_regime_adjustment,-0.011756146088939698,2,2.220446049250313e-16,1.0,"AVGO,GOOGL"
2022-12-08,no_regime_adjustment,-0.018231616837597296,2,1.1102230246251565e-16,1.0,"AMD,NVDA"
2022-12-15,no_regime_adjustment,0.004898764318289578,2,0.6000000000000002,1.0,"AVGO,META"
2022-12-22,no_regime_adjustment,0.012383081898507646,2,2.220446049250313e-16,0.6666666666666666,"AVGO,YPF"
