horizon,tp_multiple,sl_multiple,subset,sample_size,TP_rate,SL_rate,timeout_rate,TP_minus_SL,avg_return,median_return,Sharpe,Sortino,max_drawdown_proxy,avg_time_to_exit
10,1.5,0.75,selected_only,74,0.06756756756756757,0.28378378378378377,0.6486486486486487,-0.2162162162162162,0.015640444138932046,0.013861276810368084,0.18409965945096876,3.3313173222783092,-0.54659458162626,8.135135135135135
10,1.0,0.75,selected_only,74,0.24324324324324326,0.28378378378378377,0.47297297297297297,-0.040540540540540515,0.015418594371038196,0.02090470330714478,0.18346133828621036,3.233148890370497,-0.5465945816262601,7.5675675675675675
10,0.75,1.25,selected_only,74,0.35135135135135137,0.10810810810810811,0.5405405405405406,0.24324324324324326,0.013464569552299863,0.03568432889333728,0.17882924553421256,2.6402738247857522,-0.5079244238811871,8.14864864864865
30,0.75,1.5,selected_only,74,0.43243243243243246,0.0945945945945946,0.47297297297297297,0.33783783783783783,0.02439009773278931,0.05046891014788102,0.17116904376580264,2.550798060726477,-0.8787727800426884,22.37837837837838
10,0.75,1.5,selected_only,74,0.35135135135135137,0.06756756756756757,0.581081081081081,0.28378378378378377,0.013111532875204241,0.03568432889333728,0.17048159652283587,2.4580475663751273,-0.57712375067663,8.35135135135135
30,0.75,2.0,selected_only,74,0.43243243243243246,0.02702702702702703,0.5405405405405406,0.40540540540540543,0.024507449340676158,0.05046891014788102,0.16998543338655964,2.4994512237928195,-0.873036865137431,22.91891891891892
10,1.25,1.0,selected_only,74,0.14864864864864866,0.20270270270270271,0.6486486486486487,-0.05405405405405406,0.015050049039283564,0.018654760704807205,0.1699172863454472,2.936861175315981,-0.579101615032251,8.5
10,1.5,1.0,selected_only,74,0.06756756756756757,0.20270270270270271,0.7297297297297297,-0.13513513513513514,0.014297262717770666,0.018654760704807205,0.16356085827199335,2.7899627223481884,-0.579101615032251,8.743243243243244
10,1.0,1.0,selected_only,74,0.24324324324324326,0.20270270270270271,0.5540540540540541,0.04054054054054054,0.014075412949876813,0.025320302922484106,0.16268150003098988,2.7025897529096166,-0.5791016150322511,8.175675675675675
10,0.75,2.0,selected_only,74,0.35135135135135137,0.04054054054054054,0.6081081081081081,0.31081081081081086,0.011259557482108145,0.03568432889333728,0.13950651819775148,1.9259636386181427,-0.6153729483557006,8.5
10,0.75,0.75,selected_only,74,0.35135135135135137,0.28378378378378377,0.36486486486486486,0.0675675675675676,0.010188989093601055,0.031329797356158484,0.13627822333334844,2.136544874923977,-0.5465945816262598,6.95945945945946
5,2.0,1.25,selected_only,74,0.05405405405405406,0.13513513513513514,0.8108108108108109,-0.08108108108108109,0.00880034199525736,0.007328833018715897,0.12972040103392057,2.3419466045944124,-0.4598074026266823,4.675675675675675
5,0.75,1.25,selected_only,74,0.32432432432432434,0.13513513513513514,0.5405405405405406,0.1891891891891892,0.007724457522777242,0.015418456338827324,0.12732512469707985,1.9972373907628704,-0.4598074026266823,4.081081081081081
5,2.0,2.0,selected_only,74,0.05405405405405406,0.013513513513513514,0.9324324324324325,0.04054054054054054,0.007974733979429771,0.007328833018715897,0.11487162433522868,2.003028196663966,-0.4982559157258417,4.945945945945946
10,0.75,1.0,selected_only,74,0.35135135135135137,0.20270270270270271,0.44594594594594594,0.14864864864864866,0.00884580767243967,0.031329797356158484,0.11421338563807149,1.6984644966991143,-0.5812355880314453,7.5675675675675675
5,0.75,2.0,selected_only,74,0.32432432432432434,0.013513513513513514,0.6621621621621622,0.31081081081081086,0.006898849506949653,0.015418456338827324,0.11052838894492759,1.6832974366771225,-0.4982559157258418,4.351351351351352
5,1.5,1.25,selected_only,74,0.06756756756756757,0.13513513513513514,0.7972972972972973,-0.06756756756756757,0.006868627442550409,0.007328833018715897,0.10831836201560881,1.8278788172066385,-0.4598074026266823,4.621621621621622
5,1.25,1.25,selected_only,74,0.13513513513513514,0.13513513513513514,0.7297297297297297,0.0,0.00668667984349221,0.007328833018715897,0.10819696859165197,1.7794589305638133,-0.4598074026266824,4.554054054054054
5,2.0,1.0,selected_only,74,0.05405405405405406,0.20270270270270271,0.7432432432432432,-0.14864864864864866,0.007350819480406153,0.007328833018715897,0.10642342723875162,1.8759887469229017,-0.4560162933057823,4.513513513513513
5,2.0,0.75,selected_only,74,0.05405405405405406,0.2972972972972973,0.6486486486486487,-0.24324324324324326,0.007057701039420169,0.007093006091265175,0.10341706978544492,1.8900215227430504,-0.4298178056186702,4.27027027027027
5,0.75,1.0,selected_only,74,0.32432432432432434,0.20270270270270271,0.47297297297297297,0.12162162162162163,0.0062749350079260345,0.015418456338827324,0.10118455337729058,1.5557355704554703,-0.4560162933057821,3.918918918918919
