model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,candidate,window_start,model_scope,cost_scenario,commission_bps,slippage_bps,all_in_cost_bps,average_exposure,average_cash,average_turnover,CAGR_SPY,Sharpe_SPY,max_drawdown_SPY,CAGR_QQQ,Sharpe_QQQ,max_drawdown_QQQ,production_champion_Sharpe,production_champion_max_drawdown,production_champion_return,return_vs_SPY,Sharpe_vs_SPY,drawdown_vs_SPY,return_vs_QQQ,Sharpe_vs_QQQ,drawdown_vs_QQQ,beats_SPY_CAGR_after_costs,beats_QQQ_CAGR_after_costs,beats_SPY_Sharpe_after_costs,beats_QQQ_Sharpe_after_costs
growth_champion_v3_2020-01-01_realistic_us_liquid,2020-12-31,2026-06-10,274,2.9220345781807753,0.2855801774223885,0.2782606933503341,1.072926911016683,2.226065915891549,0.6344979723729304,-0.4500884003684993,0.5218978102189781,growth_champion_v3,2020-01-01,window,realistic_us_liquid,2.0,5.0,7.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.1314910935818068,0.0938175180022276,-0.21493292949090628,0.1047111601745006,0.17677322445924648,-0.10455759087638261,True,True,True,True
growth_champion_v3_2022-01-03_realistic_us_liquid,2023-01-04,2026-06-10,173,4.392055766913997,0.6342055924501027,0.32457248438214464,1.7331871959702758,3.2061900134970824,2.5865018093907715,-0.24519820173622242,0.5780346820809249,growth_champion_v3,2022-01-03,window,realistic_us_liquid,2.0,5.0,7.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.399961676072082,0.21312026504189818,-0.05955918780528632,0.27220509173112256,0.023303405955057865,-0.017730014244357523,True,True,True,True
growth_champion_v3_2008-01-01_conservative,2008-12-31,2026-06-09,878,12.40831125277039,0.160520330413072,0.1738721902575608,0.974676185585939,1.5511036752567038,0.6278395153998823,-0.2556709580645521,0.5660592255125285,growth_champion_v3,2008-01-01,window,conservative,5.0,10.0,15.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.013705684235767707,0.0266590214750686,0.03498339430844544,-0.0474677418363727,-0.1237586466401378,0.09177204284693391,True,False,True,False
growth_champion_v3_2015-01-01_conservative,2016-01-04,2026-06-05,525,8.33750678510763,0.23918035450613817,0.20917942028770187,1.1671959289704927,1.7923618090962938,0.734860522416241,-0.32547721262765184,0.5923809523809523,growth_champion_v3,2015-01-01,window,conservative,5.0,10.0,15.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.08546836189055368,0.1828895438293655,0.010242604664933042,0.02850781439616748,0.06791166172174545,0.020305180308198945,True,True,True,True
growth_champion_v3_2020-01-01_conservative,2020-12-31,2026-06-10,274,2.8429068073031676,0.2807727358903438,0.278257864225856,1.0589285762263345,2.187830823828248,0.6180788275182919,-0.45426687242742414,0.5145985401459854,growth_champion_v3,2020-01-01,window,conservative,5.0,10.0,15.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.1266836520497621,0.07981918321187909,-0.21911140154983114,0.0999037186424559,0.16277488966889797,-0.10873606293530746,True,True,True,True
growth_champion_v3_2022-01-03_conservative,2023-01-04,2026-06-10,173,4.321100738396587,0.6279074902182016,0.3245681574959708,1.720789462504841,3.1831703405805363,2.5489828022776155,-0.2463364953491023,0.5780346820809249,growth_champion_v3,2022-01-03,window,conservative,5.0,10.0,15.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.3936635738401809,0.20072253157646336,-0.060697481418166194,0.2659069894992215,0.010905672489623042,-0.018868307857237393,True,True,True,True
growth_champion_v3_2008-01-01_stress,2008-12-31,2026-06-09,878,10.365003286952371,0.14956862168869822,0.17390063548682552,0.9178924468603912,1.4608406961758829,0.5588096782337328,-0.26765574669617354,0.5637813211845103,growth_champion_v3,2008-01-01,window,stress,10.0,25.0,35.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.002753975511393919,-0.03012471725047927,0.02299860567682399,-0.05841945056074649,-0.18054238536568568,0.07978725421531246,True,False,False,False
growth_champion_v3_2015-01-01_stress,2016-01-04,2026-06-05,525,7.5045757680931775,0.22811581817534776,0.20917662367696643,1.1226402715549006,1.7253258693000475,0.6744845813518172,-0.33820760990288745,0.5923809523809523,growth_champion_v3,2015-01-01,window,stress,10.0,25.0,35.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.07440382555976327,0.13833388641377342,-0.002487792610302575,0.01744327806537707,0.023356004306153366,0.007574783032963328,True,True,True,True
growth_champion_v3_2020-01-01_stress,2020-12-31,2026-06-10,274,2.6519561162104033,0.2688297426104418,0.2782547624194626,1.023916881234908,2.1154316157746273,0.5786547561067706,-0.46457708983357704,0.5145985401459854,growth_champion_v3,2020-01-01,window,stress,10.0,25.0,35.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.11474065876986009,0.04480748822045255,-0.22942161895598404,0.0879607253625539,0.12776319467747144,-0.11904628034146036,True,True,True,True
growth_champion_v3_2022-01-03_stress,2023-01-04,2026-06-10,173,4.147729583308231,0.6122644118763851,0.32456075416974706,1.689775908542383,3.1254939372796318,2.457162562425644,-0.24917537864160455,0.5780346820809249,growth_champion_v3,2022-01-03,window,stress,10.0,25.0,35.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.3780204954983645,0.16970897761400527,-0.06353636471066845,0.25026391115740504,-0.020107881472835043,-0.021707191149739652,True,True,True,False
growth_champion_v3_2008-01-01_extreme,2008-12-31,2026-06-09,878,7.163688802563064,0.12796324382159918,0.17398388008675889,0.8042588372183516,1.2786658553357264,0.4396423675041213,-0.291062129767099,0.5523917995444191,growth_champion_v3,2008-01-01,window,extreme,25.0,50.0,75.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,-0.01885140235570512,-0.14375832689251888,-0.00040777739410147174,-0.08002482842784553,-0.2941759950077253,0.056380871144387,False,False,False,False
growth_champion_v3_2015-01-01_extreme,2016-01-04,2026-06-05,525,6.054294863027598,0.20627091631359828,0.20919397341245308,1.033412032517208,1.5884205238258187,0.5682952257245063,-0.362964366013507,0.580952380952381,growth_champion_v3,2015-01-01,window,extreme,25.0,50.0,75.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.05255892369801379,0.04910564737608081,-0.027244548720922135,-0.004401623796372406,-0.06587223473153925,-0.017181973077656232,True,False,True,False
growth_champion_v3_2020-01-01_extreme,2020-12-31,2026-06-10,274,2.297872262415502,0.2452646334445152,0.27826557757182907,0.9538328093435974,1.9700891966057583,0.5060896774844938,-0.48462682476275143,0.5145985401459854,growth_champion_v3,2020-01-01,window,extreme,25.0,50.0,75.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.09117554960393351,-0.025276583670858055,-0.24947135388515843,0.06439561619662731,0.05767912278616083,-0.13909601527063475,True,True,False,True
growth_champion_v3_2022-01-03_extreme,2023-01-04,2026-06-10,173,3.8175819384678222,0.5814117380577231,0.3245605793067667,1.6276711741276633,3.0096312317839633,2.281621793052166,-0.25482388879182216,0.5780346820809249,growth_champion_v3,2022-01-03,window,extreme,25.0,50.0,75.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.3471678216797024,0.10760424319928563,-0.06918487486088606,0.21941123733874296,-0.08221261588755469,-0.027355701299957264,True,True,True,False
