model,calibration_method,predicted_probability_bucket,sample_size,avg_predicted_probability,actual_positive_rate,bucket_calibration_error
gradient_boosting_small,platt,"(0.6108, 0.612]",79,0.6116483246754079,0.5443037974683544,0.06734452720705342
gradient_boosting_small,platt,"(0.612, 0.6188]",57,0.6136615895642972,0.6842105263157895,0.07054893675149232
gradient_boosting_small,isotonic,"(0.499, 0.565]",158,0.5440996325030625,0.620253164556962,0.07615353205389952
gradient_boosting_small,isotonic,"(0.565, 0.656]",177,0.6564417177914111,0.5706214689265536,0.0858202488648575
gradient_boosting_small,isotonic,"(0.656, 0.833]",4,0.8333333333333334,0.5,0.33333333333333337
average_probability_ensemble,raw,"(0.423, 0.49]",68,0.46628068493573427,0.6470588235294118,0.18077813859367753
average_probability_ensemble,raw,"(0.49, 0.537]",68,0.5139918798548873,0.5294117647058824,0.015419884850995103
average_probability_ensemble,raw,"(0.537, 0.554]",68,0.5476050788470787,0.7352941176470589,0.18768903879998022
average_probability_ensemble,raw,"(0.554, 0.575]",68,0.5659076616768082,0.6470588235294118,0.08115116185260363
average_probability_ensemble,raw,"(0.575, 0.643]",67,0.5933371267199528,0.40298507462686567,0.1903520520930871
average_probability_ensemble,platt,"(0.52, 0.573]",68,0.554840117507565,0.6470588235294118,0.09221870602184679
average_probability_ensemble,platt,"(0.573, 0.609]",68,0.5913637922428495,0.5294117647058824,0.06195202753696716
average_probability_ensemble,platt,"(0.609, 0.622]",68,0.6166213522736695,0.7352941176470589,0.11867276537338933
average_probability_ensemble,platt,"(0.622, 0.637]",68,0.6302151881387745,0.6470588235294118,0.016843635390637268
average_probability_ensemble,platt,"(0.637, 0.687]",67,0.6504471709491357,0.40298507462686567,0.24746209632227006
average_probability_ensemble,isotonic,"(0.466, 0.532]",91,0.49749824643441665,0.5824175824175825,0.08491933598316581
average_probability_ensemble,isotonic,"(0.532, 0.596]",83,0.59426293562991,0.6385542168674698,0.044291281237559876
average_probability_ensemble,isotonic,"(0.596, 0.608]",82,0.6078431372549019,0.7317073170731707,0.1238641798182688
average_probability_ensemble,isotonic,"(0.608, 0.678]",16,0.6681357867377411,0.5,0.1681357867377411
average_probability_ensemble,isotonic,"(0.678, 1.0]",67,0.774559602631895,0.40298507462686567,0.3715745280050294
