candidate,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,max_drawdown,Calmar,cost_bps,slippage_bps,all_in_bps,return_drag,avg_period_cost_drag,breakeven_cost_level_bps_grid,still_beats_SPY_return,still_beats_SPY_sharpe,still_beats_QQQ_return,still_beats_QQQ_sharpe,passes_growth_criteria
growth_candidate_v1,2022-01-03,2026-05-15,220,2.7633333034639644,0.35509523976280155,0.3029494648679285,1.1915362695107516,1.942268036782707,-0.2540178123065887,1.3979147231384572,25,25,50,-0.7018633684098612,0.0007798731076831322,75.0,True,True,True,True,False
growth_candidate_v1,2022-01-03,2026-05-15,220,2.7633333034639644,0.35509523976280155,0.3029494648679285,1.1915362695107516,1.942268036782707,-0.2540178123065887,1.3979147231384572,50,0,50,-0.7018633684098612,0.0007798731076831322,75.0,True,True,True,True,False
growth_candidate_v1,2022-01-03,2026-05-15,220,2.6994802754130345,0.3497886926030296,0.3029819215108408,1.1779779036776399,1.9158269804784518,-0.255816107596197,1.367344284493482,50,5,55,-0.7657163964607911,0.0008578604184514452,75.0,True,True,True,True,False
growth_candidate_v1,2022-01-03,2026-05-15,220,2.6367027599038306,0.344502256948636,0.30301502648300144,1.1644199509951045,1.8936499929614443,-0.25761027994824925,1.337300114800707,50,10,60,-0.828493911969995,0.0009358477292197585,75.0,True,True,True,True,False
growth_candidate_v1,2022-01-03,2026-05-15,220,2.454644947313063,0.32876288315848967,0.3031182292299605,1.1237494483822648,1.8271012979310899,-0.2629681489873178,1.2502003928024947,50,25,75,-1.0105517245607625,0.001169809661524698,75.0,True,True,True,True,False
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.172110083121285,0.30302070679090143,0.22319257946567483,1.3410777675688303,2.2663912654868343,-0.19760884981129268,1.5334369239043302,0,0,0,0.0,0.0,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.1183333000653137,0.2979223657755381,0.22321649000702018,1.322703980037603,2.235567773081885,-0.19996565709775804,1.4898676607748278,0,5,5,-0.05377678305597122,7.798731076831321e-05,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.065461570602948,0.29284333252669437,0.22324128271227625,1.3043289741895503,2.2047178888190726,-0.20231583319433044,1.4474563256026014,0,10,10,-0.10664851251833696,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,1.9121267467777523,0.27772137340888214,0.22332095082114875,1.2491988452258722,2.0993535694473495,-0.20932675259639955,1.3267361670887499,0,25,25,-0.25998333634353266,0.0003899365538415661,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.1183333000653137,0.2979223657755381,0.22321649000702018,1.322703980037603,2.235567773081885,-0.19996565709775804,1.4898676607748278,5,0,5,-0.05377678305597122,7.798731076831321e-05,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.065461570602948,0.29284333252669437,0.22324128271227625,1.3043289741895503,2.2047178888190726,-0.20231583319433044,1.4474563256026014,5,5,10,-0.10664851251833696,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.0134797740638786,0.2877835363222345,0.22326695728756307,1.2859529699310748,2.1738427367875564,-0.20465939594911398,1.4061584369856557,5,10,15,-0.15863030905740638,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,1.862726512076613,0.27271886650412,0.2233492691401816,1.2308211639704882,2.068691799997378,-0.21165058195612074,1.28853350642173,5,25,30,-0.30938357104467196,0.00046792386460987927,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.065461570602948,0.29284333252669437,0.22324128271227625,1.3043289741895503,2.2047178888190726,-0.20231583319433044,1.4474563256026014,10,0,10,-0.10664851251833696,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,2.0134797740638786,0.2877835363222345,0.22326695728756307,1.2859529699310748,2.1738427367875564,-0.20465939594911398,1.4061584369856557,10,5,15,-0.15863030905740638,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,1.9623730405440747,0.28274290669038393,0.22329351342868503,1.2675761870546527,2.136284890411835,-0.2069963631643238,1.3659317601919838,10,10,20,-0.20973704257721026,0.00031194924307325283,75.0,True,True,True,True,True
growth_candidate_v1_exposure_cap_60pct,2022-01-03,2026-05-15,220,1.8141581943355742,0.2677353162502949,0.22337846805075098,1.2124433626615114,2.03800718772878,-0.21396786890871844,1.2512874835637793,10,25,35,-0.3579518887857107,0.0005459111753781925,75.0,True,True,True,True,True
