group_type,group,horizon,sample_size,MAE,RMSE,MAPE,bias,forecast_dispersion,pearson_corr,spearman_ic,calibration_slope,bias_type
ticker,GOOGL,5D,440,0.037847144288960376,0.04859680395730952,2.0299790831622992,-0.0005693277607729825,0.022174127790380783,0.034365167400174444,0.03654563969925484,0.11545970780934699,well_centered
ticker,CSCO,10D,440,0.038112149020353155,0.05403821552537579,1.4739503086390544,-0.007182358308901268,0.012010593862965626,-0.16968207777999558,-0.12456960666279808,-0.7067411721519823,pessimistic_bias
ticker,SPY,20D,440,0.038165114494998556,0.046144532756248795,1.2785770604188946,-0.012887697098246111,0.010606445391169153,-0.02149522006495429,-0.042538155393985005,-0.3238084868591794,pessimistic_bias
ticker,AMZN,5D,440,0.03903650074550268,0.052099054183457186,1.1669686806658954,-0.0034689274590205786,0.010235182356516166,-0.007415054828391859,0.07542472314216264,-0.040769406398459926,pessimistic_bias
ticker,PEP,20D,440,0.04052158513066275,0.052259375872423894,1.240783864281976,0.0020336492559340728,0.01325825569130924,-0.056788499569252235,-0.02526103588124115,-0.21321277587163698,optimistic_bias
ticker,MSFT,10D,440,0.0408562159537262,0.05234877166654675,1.369099837837732,-0.003312687431604295,0.011666834879812576,-0.004351928045574238,0.05274225247969861,0.0028431100640841566,pessimistic_bias
ticker,QCOM,5D,440,0.0409965649433145,0.054924398844962155,1.711055036418829,-0.0023762012023686207,0.013963071130181377,-0.05014342169233935,0.04508375600059027,-0.18688001071357507,pessimistic_bias
ticker,ADBE,5D,440,0.04230352485679276,0.055778975222740286,2.1773262062321046,0.004780745757322174,0.0227638390289275,0.021917814972791026,0.019025934450784675,0.03788042314347623,optimistic_bias
ticker,AAPL,10D,440,0.04518112272080888,0.05553056487822783,1.0844650187108262,-0.006676825104189731,0.0122348800077906,-0.06088052299430861,0.020685435012257277,-0.27373419452901493,pessimistic_bias
ticker,META,5D,440,0.04583611729362525,0.06523872368300178,1.8028561271698467,-0.00344192526483317,0.02252427344110404,-0.003975213040392096,0.03540061248672093,5.747384567380163e-05,pessimistic_bias
ticker,AMAT,5D,440,0.046891303374201644,0.061651118098883774,1.460000635718258,-0.004638662980381975,0.02166479564620275,0.022335330927470698,0.08256818277468833,0.08027166705237816,pessimistic_bias
ticker,NFLX,5D,440,0.04790875513868981,0.06905421913937666,1.962362207251003,-0.001979371246199111,0.019171792417477684,0.01802423548347847,0.020493845813309673,0.08530415073051692,well_centered
ticker,AVGO,5D,440,0.04813219924346815,0.06576496846594444,1.8439212074546856,-0.006899668452138062,0.02566926664834334,-0.05375618251483756,-0.015554788963969323,-0.07419249298923855,pessimistic_bias
