strategy,sample_size,observed_sharpe,skewness,kurtosis,effective_independent_trials_used,expected_max_sharpe,deflated_sharpe,dsr_z_score,dsr_p_value,survives_5pct
final_cost__growth_champion_v3__2020-01-01__realistic_us_liquid,274,2.353587552665436,0.9877990744360895,5.43012526215437,3,0.8193480571505026,1.5342394955149334,1.704329702907151,0.04415975440354414,True
crisis_overlay__qqq_trend_filter__2020-01-01,274,2.340363769434113,0.9580531387395109,5.316682143534111,3,0.8193480571505026,1.52101571228361,1.6854988373583384,0.04594618447031451,True
final_cost__growth_champion_v3__2010-01-01__stress,777,1.993210806359816,0.5126823311223673,6.305096664012628,3,0.485980553284501,1.507230253075315,2.7043281310748313,0.0034221332840560503,True
crisis_overlay__drawdown_aware_trend_filter__2020-01-01,274,2.3236852370150562,0.9750737713617559,5.329412453681066,3,0.8193480571505026,1.5043371798645535,1.6686723586089627,0.04759116501979632,True
final_cost__growth_champion_v3__2020-01-01__conservative,274,2.3228806087139713,0.9873524860631205,5.428362672737812,3,0.8193480571505026,1.5035325515634685,1.6689494821915674,0.047563695965251895,True
crisis_overlay__spy_trend_filter__2020-01-01,274,2.317413923519503,0.9507807767793289,5.248519803223452,3,0.8193480571505026,1.498065866369,1.6585396737574076,0.04860429331159366,True
final_cost__growth_champion_v3__2008-01-01__extreme,878,1.7664549190438403,0.5041892913912315,6.015533132308937,3,0.45714076958421046,1.3093141494596299,2.493667785406838,0.006321540728723374,True
final_cost__growth_champion_v3__2010-01-01__extreme,777,1.7410124131466196,0.5186388681511092,6.328276759816696,3,0.485980553284501,1.2550318598621186,2.2487645463815995,0.01226374006468034,True
final_cost__growth_champion_v3__2020-01-01__stress,274,2.2460784624694927,0.9861944599104827,5.423855961417644,3,0.8193480571505026,1.42673040531899,1.5806653735117617,0.05697728481636832,False
crisis_overlay__realized_volatility_filter__2020-01-01,274,2.19891530990097,0.8303760910008543,5.069378815062448,3,0.8193480571505026,1.3795672527504674,1.5098027423487357,0.06554688255036334,False
final_cost__growth_champion_v3__2020-01-01__extreme,274,2.09234105729322,0.9837000527045238,5.414416702702354,3,0.8193480571505026,1.2729930001427174,1.4048509245041456,0.0800328061771578,False
final_selection__growth_champion_v2__2020-01-01,274,1.985580007266729,0.6382129682953286,4.506364625691923,3,0.8193480571505026,1.1662319501162264,1.2560846147771467,0.10454264679965464,False
crisis_overlay__base_growth_v2__2020-01-01,274,1.985580007266729,0.6382129682953286,4.506364625691923,3,0.8193480571505026,1.1662319501162264,1.2560846147771467,0.10454264679965464,False
reconstructed__2020-01-01,274,1.985580007266729,0.6382129682953286,4.506364625691923,3,0.8193480571505026,1.1662319501162264,1.2560846147771467,0.10454264679965464,False
