ticker,download_status,first_available_date,last_available_date,observations,volume_available,adjusted_close_available,download_error,existed_at_2001,enough_history_from_2001,observations_from_2001,existed_at_2008,enough_history_from_2008,observations_from_2008,existed_at_2010,enough_history_from_2010,observations_from_2010,existed_at_2015,enough_history_from_2015,observations_from_2015,existed_at_2020,enough_history_from_2020,observations_from_2020,universe,data_source_confirmed,data_source_note,survivorship_warning
CRWD,ok,2019-06-12,2026-06-18,1765,True,True,,False,False,1765,False,False,1765,False,False,1765,False,False,1765,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
CSCO,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
CSGP,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
CSX,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
CTAS,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
DASH,ok,2020-12-09,2026-06-18,1387,True,True,,False,False,1387,False,False,1387,False,False,1387,False,False,1387,False,False,1387,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
DDOG,ok,2019-09-19,2026-06-18,1696,True,True,,False,False,1696,False,False,1696,False,False,1696,False,False,1696,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
DXCM,ok,2005-04-14,2026-06-18,5329,True,True,,False,False,5329,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
EA,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
EC,ok,2008-09-18,2026-06-18,4465,True,True,,False,False,4465,False,False,4465,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
EXC,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
FANG,ok,2012-10-12,2026-06-18,3439,True,True,,False,False,3439,False,False,3439,False,False,3439,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
FAST,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
FTNT,ok,2009-11-18,2026-06-18,4170,True,True,,False,False,4170,False,False,4170,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GEHC,ok,2022-12-15,2026-06-18,879,True,True,,False,False,879,False,False,879,False,False,879,False,False,879,False,False,879,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GFS,ok,2021-10-28,2026-06-18,1164,True,True,,False,False,1164,False,False,1164,False,False,1164,False,False,1164,False,False,1164,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GILD,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GLOB,ok,2014-07-18,2026-06-18,2998,True,True,,False,False,2998,False,False,2998,False,False,2998,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GOOG,ok,2004-08-19,2026-06-18,5493,True,True,,False,False,5493,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
GOOGL,ok,2004-08-19,2026-06-18,5493,True,True,,False,False,5493,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
HON,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
IDXX,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ILMN,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
INTC,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
INTU,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ISRG,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
JMIA,ok,2019-04-12,2026-06-18,1806,True,True,,False,False,1806,False,False,1806,False,False,1806,False,False,1806,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
KDP,ok,2008-05-07,2026-06-18,4558,True,True,,False,False,4558,False,False,4558,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
KEEL,ok,2019-08-16,2026-06-18,1719,True,True,,False,False,1719,False,False,1719,False,False,1719,False,False,1719,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
KHC,ok,2015-07-06,2026-06-18,2756,True,True,,False,False,2756,False,False,2756,False,False,2756,False,False,2756,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
KLAC,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
LIN,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
LRCX,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MAR,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MCHP,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MDB,ok,2017-10-19,2026-06-18,2177,True,True,,False,False,2177,False,False,2177,False,False,2177,False,False,2177,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MDLZ,ok,2001-06-13,2026-06-18,6291,True,True,,False,False,6291,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MELI,ok,2007-08-10,2026-06-18,4744,True,True,,False,False,4744,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
META,ok,2012-05-18,2026-06-18,3541,True,True,,False,False,3541,False,False,3541,False,False,3541,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MNST,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MRNA,ok,2018-12-07,2026-06-18,1892,True,True,,False,False,1892,False,False,1892,False,False,1892,False,False,1892,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MRVL,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MSFT,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MSTR,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
MU,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NET,ok,2019-09-13,2026-06-18,1700,True,True,,False,False,1700,False,False,1700,False,False,1700,False,False,1700,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NFLX,ok,2002-05-23,2026-06-18,6057,True,True,,False,False,6057,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NU,ok,2021-12-09,2026-06-18,1135,True,True,,False,False,1135,False,False,1135,False,False,1135,False,False,1135,False,False,1135,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NVDA,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NVO,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
NXPI,ok,2010-08-06,2026-06-18,3991,True,True,,False,False,3991,False,False,3991,False,False,3991,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ODFL,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
OKLO,ok,2021-07-08,2026-06-18,1243,True,True,,False,False,1243,False,False,1243,False,False,1243,False,False,1243,False,False,1243,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ON,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ORLY,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PANW,ok,2012-07-20,2026-06-18,3498,True,True,,False,False,3498,False,False,3498,False,False,3498,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PAYX,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PBR,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PCAR,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PDD,ok,2018-07-26,2026-06-18,1985,True,True,,False,False,1985,False,False,1985,False,False,1985,False,False,1985,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PEP,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PLTR,ok,2020-09-30,2026-06-18,1436,True,True,,False,False,1436,False,False,1436,False,False,1436,False,False,1436,False,False,1436,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
PYPL,ok,2015-07-06,2026-06-18,2756,True,True,,False,False,2756,False,False,2756,False,False,2756,False,False,2756,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
QCOM,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
QQQ,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
RBLX,ok,2021-03-10,2026-06-18,1326,True,True,,False,False,1326,False,False,1326,False,False,1326,False,False,1326,False,False,1326,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
REGN,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
RGTI,ok,2021-04-22,2026-06-18,1296,True,True,,False,False,1296,False,False,1296,False,False,1296,False,False,1296,False,False,1296,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
RIO,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
RKLB,ok,2020-11-24,2026-06-18,1397,True,True,,False,False,1397,False,False,1397,False,False,1397,False,False,1397,False,False,1397,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ROP,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
ROST,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SAP,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SBUX,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SE,ok,2017-10-20,2026-06-18,2176,True,True,,False,False,2176,False,False,2176,False,False,2176,False,False,2176,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SHEL,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SHOP,ok,2015-05-20,2026-06-18,2787,True,True,,False,False,2787,False,False,2787,False,False,2787,False,False,2787,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SIRI,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SMCI,ok,2007-03-29,2026-06-18,4837,True,True,,False,False,4837,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SNAP,ok,2017-03-02,2026-06-18,2338,True,True,,False,False,2338,False,False,2338,False,False,2338,False,False,2338,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SNOW,ok,2020-09-16,2026-06-18,1446,True,True,,False,False,1446,False,False,1446,False,False,1446,False,False,1446,False,False,1446,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SNPS,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SONY,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SPCE,ok,2017-09-29,2026-06-18,2191,True,True,,False,False,2191,False,False,2191,False,False,2191,False,False,2191,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SPOT,ok,2018-04-03,2026-06-18,2065,True,True,,False,False,2065,False,False,2065,False,False,2065,False,False,2065,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
SPY,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
TCEHY,ok,2010-01-05,2026-06-18,4139,True,True,,False,False,4139,False,False,4139,False,False,4139,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
TEAM,ok,2015-12-09,2026-06-18,2646,True,True,,False,False,2646,False,False,2646,False,False,2646,False,False,2646,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
TM,ok,2001-01-02,2026-06-18,6403,True,True,,False,False,6403,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
TMUS,ok,2007-04-19,2026-06-18,4823,True,True,,False,False,4823,True,True,4645,True,True,4140,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
TSLA,ok,2010-06-29,2026-06-18,4018,True,True,,False,False,4018,False,False,4018,False,False,4018,True,True,2882,True,True,1624,normal,True,financial_data_system.py imports yfinance as yf and calls yf.download,high_current_universe_not_point_in_time
