window_start,date,entry_date,exit_date,return,selected_tickers,selected_count,target_exposure,uncapped_exposure,cash_weight,turnover,rolling_vol_used,raw_target_source,reconstruction_type
2008-01-01,2009-09-03,2009-09-04,2009-09-14,0.016131283600810772,"SIRI,DXCM,ISRG",3,0.6,0.75,0.4,0.14999999999999997,0.21737954401320336,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-09-11,2009-09-14,2009-09-21,0.00340153338503577,"SIRI,AMD,DXCM,ISRG",4,0.6,0.75,0.4,0.14999999999999997,0.17107841936447812,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-09-18,2009-09-21,2009-09-28,0.01716547074675122,"AMD,MELI,DXCM,ISRG",4,0.6,0.75,0.4,0.15,0.1681073950676762,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-09-25,2009-09-28,2009-10-05,-0.005669514946996211,"AMD,ISRG,DXCM,MELI",4,0.6,0.75,0.4,0.0,0.1671461369115375,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-10-02,2009-10-05,2009-10-12,0.013236837001174553,"ISRG,MELI,AMD,DXCM",4,0.6,0.75,0.4,0.0,0.13067422855314373,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-10-09,2009-10-12,2009-10-19,-0.012398379558326804,"ISRG,MU,AMD,MELI",4,0.6,0.75,0.4,0.15,0.12200094455076903,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-10-16,2009-10-19,2009-10-26,-0.020921609255924394,"AMD,VALE,ISRG,MELI",4,0.6,0.75,0.4,0.15,0.11683470219072734,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-10-23,2009-10-26,2009-11-02,-0.044435054336819615,"AMZN,VALE,AMD,MELI",4,0.6,0.75,0.4,0.15,0.12795912225159897,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-10-30,2009-11-02,2009-11-09,0.05830404000121957,"AMZN,MSTR,VALE,MELI",4,0.6,0.75,0.4,0.15,0.15354424683914972,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-11-06,2009-11-09,2009-11-16,0.00959948752522236,"AMZN,MSTR,MELI,VALE",4,0.6,0.75,0.4,0.0,0.19486281206973258,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-11-13,2009-11-16,2009-11-23,0.014593633222139486,"AMD,AMZN,VALE,MSTR",4,0.6,0.75,0.4,0.15,0.17779943525090014,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-11-20,2009-11-23,2009-12-01,0.011278396183538236,"AMD,AMZN,VALE,MSTR",4,0.6,0.75,0.4,0.0,0.17427031206302454,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-11-30,2009-12-01,2009-12-08,0.013689570981013501,"AMD,AMZN,VALE,MSTR",4,0.6,0.75,0.4,0.0,0.17252134623972842,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-12-07,2009-12-08,2009-12-15,0.006569446889597313,"AMD,AMZN,VALE,MSTR",4,0.6,0.75,0.4,0.0,0.17190766982715414,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-12-14,2009-12-15,2009-12-22,0.010866291814300814,"AMD,SMCI,AMZN,VALE",4,0.6,0.75,0.4,0.15,0.1719103150845854,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-12-21,2009-12-22,2009-12-30,0.009520263899813235,"AMD,AMZN,VALE,SMCI",4,0.6,0.75,0.4,0.0,0.17044421428260662,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-12-29,2009-12-30,2010-01-07,0.0044074453394692455,"AMD,MU,AMZN,VALE",4,0.6,0.75,0.4,0.15,0.16917787035269097,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-01-06,2010-01-07,2010-01-14,-0.011641603502902859,"AMD,REGN,AMZN,VALE",4,0.6,0.75,0.4,0.15,0.16841518187745927,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-01-13,2010-01-14,2010-01-22,-0.031050928829910136,"AMD,SMCI,AMZN,REGN",4,0.6,0.75,0.4,0.15,0.168081083012093,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-01-21,2010-01-22,2010-01-29,0.012515544028885146,"REGN,AMD,AMZN,SMCI",4,0.6,0.75,0.4,0.0,0.1759198519340039,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-01-28,2010-01-29,2010-02-05,-0.010571474229755816,"REGN,SMCI,AMD",3,0.6,0.75,0.4,0.14999999999999997,0.14061571198198985,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
