fold,n_states,train_start,train_end,test_start,test_end,train_observations,test_observations,converged,test_risk_off_rate,test_state_switch_rate,future_volatility_corr_proxy,classification_stability_proxy
12,3,2008-01-02,2016-07-01,2016-07-05,2016-12-30,2141,126,True,0.0,0.031746031746031744,-0.5946985305624755,0.9735814216734179
13,3,2008-01-02,2016-12-30,2017-01-03,2017-06-30,2267,125,True,0.0,0.016,-0.3628747434322263,0.9737358999507357
14,3,2008-01-02,2017-06-30,2017-07-03,2017-12-29,2392,126,True,0.0,0.015873015873015872,-0.21301748475585447,0.9742729606825066
15,3,2008-01-02,2017-12-29,2018-01-02,2018-06-29,2518,125,True,0.296,0.064,-0.17004156951746405,0.9754171370916961
16,3,2008-01-02,2018-06-29,2018-07-02,2018-12-31,2643,126,True,0.36507936507936506,0.031746031746031744,0.5965285217198899,0.9737168587892754
17,3,2008-01-02,2018-12-31,2019-01-02,2019-07-01,2769,125,True,0.128,0.032,-0.008939948688987787,0.9742725573140195
18,3,2008-01-02,2019-07-01,2019-07-02,2019-12-31,2894,127,True,0.047244094488188976,0.06299212598425197,-0.03781952746470615,0.9741081417106124
19,3,2008-01-02,2019-12-31,2020-01-02,2020-07-01,3021,126,True,0.6190476190476191,0.047619047619047616,0.15273964043094163,0.9724648566222701
20,3,2008-01-02,2020-07-01,2020-07-02,2020-12-31,3147,127,True,0.12598425196850394,0.047244094488188976,-0.28365579212236103,0.9731198767228714
21,3,2008-01-02,2020-12-31,2021-01-04,2021-07-01,3274,125,True,0.12,0.064,-0.11625462695020597,0.9711451741343047
22,3,2008-01-02,2021-07-01,2021-07-02,2021-12-31,3399,127,True,0.0,0.03937007874015748,-0.6160398908436949,0.9706134886285787
23,3,2008-01-02,2021-12-31,2022-01-03,2022-07-01,3526,125,True,0.56,0.032,0.22946579603870354,0.9725272694893583
24,3,2008-01-02,2022-07-01,2022-07-05,2022-12-30,3651,126,True,0.5317460317460317,0.03968253968253968,0.1213817632384651,0.9729069749124112
25,3,2008-01-02,2022-12-30,2023-01-03,2023-06-30,3777,124,True,0.0,0.016129032258064516,0.2355814290437987,0.9724184981227951
26,3,2008-01-02,2023-06-30,2023-07-03,2023-12-29,3901,126,True,0.0,0.047619047619047616,-0.11513706428653105,0.973716785152637
27,3,2008-01-02,2023-12-29,2024-01-02,2024-07-01,4027,125,True,0.0,0.048,-0.5065568984336263,0.9716487876457492
28,3,2008-01-02,2024-07-01,2024-07-02,2024-12-31,4152,127,True,0.10236220472440945,0.07086614173228346,-0.22796985490310706,0.9713765557651053
29,3,2008-01-02,2024-12-31,2025-01-02,2025-07-01,4279,123,True,0.4065040650406504,0.04878048780487805,-0.008111257923617084,0.9700734931594157
30,3,2008-01-02,2025-07-01,2025-07-02,2025-12-31,4402,127,True,0.0,0.031496062992125984,-0.03848462170409033,0.9701160536314974
31,3,2008-01-02,2025-12-31,2026-01-02,2026-07-01,4529,124,True,0.056451612903225805,0.04838709677419355,-0.34868872589653155,0.9696392166984859
1,4,2008-01-02,2010-12-31,2011-01-03,2011-07-01,757,126,True,0.0,0.03968253968253968,-0.12011299702803774,0.971602374461634
2,4,2008-01-02,2011-07-01,2011-07-05,2011-12-30,883,126,True,0.06349206349206349,0.05555555555555555,-0.44011963220519407,0.9723702679922546
3,4,2008-01-02,2011-12-30,2012-01-03,2012-06-29,1009,125,True,0.0,0.024,0.04738598138850268,0.9689977639325799
4,4,2008-01-02,2012-06-29,2012-07-02,2012-12-31,1134,125,True,0.0,0.032,-0.015378471699651754,0.9675445485650838
5,4,2008-01-02,2012-12-31,2013-01-02,2013-07-01,1259,125,True,0.0,0.04,-0.7199363600902589,0.9688853488318397
6,4,2008-01-02,2013-07-01,2013-07-02,2013-12-31,1384,127,True,0.0,0.015748031496062992,-0.5191314206150295,0.9683670156923353
7,4,2008-01-02,2013-12-31,2014-01-02,2014-07-01,1511,125,True,0.0,0.048,-0.1907855942246824,0.9697939472060537
8,4,2008-01-02,2014-07-01,2014-07-02,2014-12-31,1636,127,True,0.0,0.03937007874015748,-0.5220194292778653,0.9697759906189535
9,4,2008-01-02,2014-12-31,2015-01-02,2015-07-01,1763,125,True,0.0,0.048,0.22949873014702943,0.9654698882055829
10,4,2008-01-02,2015-07-01,2015-07-02,2015-12-31,1888,127,True,0.10236220472440945,0.07874015748031496,-0.10896048238225196,0.9655844354878317
11,4,2008-01-02,2015-12-31,2016-01-04,2016-07-01,2015,126,True,0.0,0.03968253968253968,0.6186330449289625,0.9679207357483333
12,4,2008-01-02,2016-07-01,2016-07-05,2016-12-30,2141,126,True,0.0,0.031746031746031744,-0.5946985305624755,0.9682016022328472
13,4,2008-01-02,2016-12-30,2017-01-03,2017-06-30,2267,125,True,0.0,0.008,-0.3628747434322263,0.9626902590293611
14,4,2008-01-02,2017-06-30,2017-07-03,2017-12-29,2392,126,True,0.0,0.015873015873015872,-0.21301748475585447,0.9703543940482187
15,4,2008-01-02,2017-12-29,2018-01-02,2018-06-29,2518,125,True,0.296,0.08,-0.17004156951746405,0.9587893413362968
16,4,2008-01-02,2018-06-29,2018-07-02,2018-12-31,2643,126,True,0.03968253968253968,0.031746031746031744,0.5965285217198899,0.9645704748689266
17,4,2008-01-02,2018-12-31,2019-01-02,2019-07-01,2769,125,True,0.032,0.056,-0.008939948688987787,0.9681413604076349
18,4,2008-01-02,2019-07-01,2019-07-02,2019-12-31,2894,127,True,0.0,0.07086614173228346,-0.03781952746470615,0.966775772256542
19,4,2008-01-02,2019-12-31,2020-01-02,2020-07-01,3021,126,True,0.35714285714285715,0.05555555555555555,0.15273964043094163,0.9609501688580688
20,4,2008-01-02,2020-07-01,2020-07-02,2020-12-31,3147,127,True,0.0,0.03937007874015748,-0.28365579212236103,0.9630773122207108
21,4,2008-01-02,2020-12-31,2021-01-04,2021-07-01,3274,125,True,0.0,0.088,-0.11625462695020597,0.9645240390107549
22,4,2008-01-02,2021-07-01,2021-07-02,2021-12-31,3399,127,True,0.0,0.03937007874015748,-0.6160398908436949,0.964436693063644
23,4,2008-01-02,2021-12-31,2022-01-03,2022-07-01,3526,125,True,0.2,0.056,0.22946579603870354,0.9643805283971664
24,4,2008-01-02,2022-07-01,2022-07-05,2022-12-30,3651,126,True,0.015873015873015872,0.023809523809523808,0.1213817632384651,0.9671245558401875
25,4,2008-01-02,2022-12-30,2023-01-03,2023-06-30,3777,124,True,0.0,0.056451612903225805,0.2355814290437987,0.9670017097804338
26,4,2008-01-02,2023-06-30,2023-07-03,2023-12-29,3901,126,True,0.0,0.03968253968253968,-0.11513706428653105,0.9673167094242963
27,4,2008-01-02,2023-12-29,2024-01-02,2024-07-01,4027,125,True,0.0,0.064,-0.5065568984336263,0.9671887146842095
28,4,2008-01-02,2024-07-01,2024-07-02,2024-12-31,4152,127,True,0.0,0.07086614173228346,-0.22796985490310706,0.9670097923997112
29,4,2008-01-02,2024-12-31,2025-01-02,2025-07-01,4279,123,True,0.1951219512195122,0.06504065040650407,-0.008111257923617084,0.9656090506074378
30,4,2008-01-02,2025-07-01,2025-07-02,2025-12-31,4402,127,True,0.0,0.03937007874015748,-0.03848462170409033,0.9652361958886121
31,4,2008-01-02,2025-12-31,2026-01-02,2026-07-01,4529,124,True,0.0,0.056451612903225805,-0.34868872589653155,0.9647703320135719
