date,ticker,selected,horizon,current_price,take_profit_price,stop_loss_price,vertical_barrier_date,first_touch_date,first_touch_type,label,realized_return_at_barrier,max_favorable_excursion,max_adverse_excursion,time_to_first_touch,daily_volatility,volatility_horizon
2023-07-05,AMD,False,10,113.94999694824219,125.93517401527058,101.9648198812138,2023-07-19,2023-07-19,vertical_timeout,0,0.0217639615915044,0.03835017870660362,-0.023080274891210006,10,0.033260604394260075,0.10517926623966688
2023-07-05,AMD,False,20,113.94999694824219,130.89959690387673,97.00039699260763,2023-08-02,2023-08-02,vertical_timeout,0,-0.040368570402072756,0.03835017870660362,-0.040368570402072756,20,0.033260604394260075,0.14874594479658748
2023-07-05,NFLX,False,5,44.59000015258789,46.788426427765664,42.39157387741012,2023-07-12,2023-07-12,vertical_timeout,0,-0.004148943096163649,-0.004148943096163649,-0.01749268393423864,5,0.02204902703743934,0.04930312329344516
2023-07-05,NFLX,False,10,44.59000015258789,47.69904440682167,41.480955898354104,2023-07-19,2023-07-19,take_profit,1,0.07106971759177716,0.07106971759177716,-0.01749268393423864,10,0.02204902703743934,0.06972514562894301
2023-07-05,NFLX,False,20,44.59000015258789,48.986852702943445,40.19314760223233,2023-08-02,2023-08-02,vertical_timeout,0,-0.036330991844384264,0.07106971759177716,-0.07340208115304292,20,0.02204902703743934,0.09860624658689032
2023-07-05,COST,False,5,541.1300048828125,554.1288916645345,528.1311181010905,2023-07-12,2023-07-07,stop_loss,-1,-0.029715626457132105,-0.005784201309425363,-0.029715626457132105,2,0.01074285078021075,0.02402174461668789
2023-07-05,COST,False,10,541.1300048828125,559.5132068652761,522.7468029003489,2023-07-19,2023-07-19,vertical_timeout,0,0.023986806038524877,0.023986806038524877,-0.029715626457132105,10,0.01074285078021075,0.033971877028782904
2023-07-05,COST,False,20,541.1300048828125,567.1277784462566,515.1322313193685,2023-08-02,2023-08-02,vertical_timeout,0,0.02073433482136111,0.046273497683364306,-0.029715626457132105,20,0.01074285078021075,0.04804348923337578
2023-07-05,ADBE,True,5,487.260009765625,512.2458067878197,462.27421274343027,2023-07-12,2023-07-12,vertical_timeout,0,0.04125102652197077,0.04125102652197077,-0.012252187951099724,5,0.022932290561055037,0.05127816057429586
2023-07-05,ADBE,True,10,487.260009765625,522.595262781114,451.924756750136,2023-07-19,2023-07-18,take_profit,1,0.09229152773024785,0.09229152773024785,-0.012252187951099724,9,0.022932290561055037,0.07251827013771454
2023-07-05,ADBE,True,20,487.260009765625,537.2316038100145,437.28841572123565,2023-08-02,2023-07-31,take_profit,1,0.12090048837142886,0.12691368998259867,-0.012252187951099724,18,0.022932290561055037,0.10255632114859171
2023-07-05,PEP,False,5,186.5800018310547,189.77428598883543,183.38571767327394,2023-07-12,2023-07-07,stop_loss,-1,-0.01875870921669942,0.00010721552291048653,-0.01875870921669942,2,0.007656379511364735,0.01712018504894817
2023-07-05,PEP,False,10,186.5800018310547,191.09740180906172,182.06260185304765,2023-07-19,2023-07-19,vertical_timeout,0,-0.0017151212406382177,0.008736225033851408,-0.01875870921669942,10,0.007656379511364735,0.024211597886559594
2023-07-05,PEP,False,20,186.5800018310547,192.96857014661617,180.1914335154932,2023-08-02,2023-08-02,vertical_timeout,0,0.009272139085439335,0.026905371546766643,-0.01875870921669942,20,0.007656379511364735,0.03424037009789634
2023-07-05,CSCO,False,5,51.5099983215332,52.87606645458362,50.14393018848279,2023-07-12,2023-07-12,vertical_timeout,0,-0.014948488995475628,0.011842372941731627,-0.014948488995475628,5,0.01186030404555461,0.026520446079675873
2023-07-05,CSCO,False,10,51.5099983215332,53.44191040241879,49.578086240647615,2023-07-19,2023-07-19,vertical_timeout,0,0.017860648682218594,0.017860648682218594,-0.021937435259934523,10,0.01186030404555461,0.037505574526062
