candidate,window_start,stress_period,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate
growth_champion_v3,2010-01-01,covid_crash_2020,2020-02-18,2020-04-29,11,-0.0977746812390134,-0.3861864639313184,0.2347749794239646,-1.949109568443232,-4.720610575728273,-3.020786887208708,-0.1278430019564093,0.6363636363636364
growth_champion_v2,2010-01-01,2022_bear_market,2022-01-04,2022-12-23,50,-0.1608126736345216,-0.1659028703518774,0.2415895427192372,-0.6338096804706146,-0.8228116446273981,-0.6126746534462578,-0.2707846153234573,0.52
growth_champion_v3,2010-01-01,2022_bear_market,2022-01-04,2022-12-23,50,-0.1067834562315828,-0.1102769688347776,0.1362129638651972,-0.7949417568722863,-0.8742043267166723,-0.7009649692187122,-0.1573216546865261,0.52
growth_champion_v2,2010-01-01,2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.2854407098829827,1.624365811130195,4.0406066955326425,3.687319203731637,-0.1396214954592494,0.5490196078431373
growth_champion_v3,2010-01-01,2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.2854407098829827,1.624365811130195,4.0406066955326425,3.687319203731637,-0.1396214954592494,0.5490196078431373
growth_champion_v2,2015-01-01,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v3,2015-01-01,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v2,2015-01-01,2018_q4_selloff,2018-10-05,2018-12-26,12,-0.0986252228724889,-0.3633232052417251,0.2057244040649675,-2.0805569139613285,-2.591844474351536,-3.17003341804123,-0.1146117902650449,0.3333333333333333
growth_champion_v3,2015-01-01,2018_q4_selloff,2018-10-05,2018-12-26,12,-0.0953278551893332,-0.3531337472250714,0.1597714368993465,-2.6319910259389774,-2.548800118371468,-3.494343348235874,-0.1010586860055843,0.3333333333333333
growth_champion_v2,2015-01-01,covid_crash_2020,2020-02-21,2020-04-27,10,-0.0727360700515745,-0.3256709792691611,0.2758985859838541,-1.2789640881284616,-1.6346490991141238,-2.236060456129397,-0.1456449794890139,0.7
growth_champion_v3,2015-01-01,covid_crash_2020,2020-02-21,2020-04-27,10,-0.0705854811468171,-0.3174704406042981,0.1784229192547894,-2.0410811090185126,-2.9623779791632487,-3.230854984597768,-0.0982620520319708,0.7
growth_champion_v2,2015-01-01,2022_bear_market,2022-01-07,2022-12-29,50,-0.2414263488339202,-0.246853057012399,0.2357258473646298,-1.0997973150962506,-1.4071945876271932,-0.8030872787007249,-0.3073801111776671,0.46
growth_champion_v3,2015-01-01,2022_bear_market,2022-01-07,2022-12-29,50,-0.1391199134235849,-0.1424641843326624,0.12649835065322,-1.169017505637973,-1.2382912882850812,-0.920565315723102,-0.1547572800097917,0.46
growth_champion_v2,2015-01-01,2024_ai_bull_market,2024-01-05,2024-12-26,50,0.4432797717616787,0.4571053500308772,0.3151184518284478,1.371111149681493,3.092917557958817,1.8273654189586377,-0.2501444677066113,0.58
growth_champion_v3,2015-01-01,2024_ai_bull_market,2024-01-05,2024-12-26,50,0.4432797717616787,0.4571053500308772,0.3151184518284478,1.371111149681493,3.092917557958817,1.8273654189586377,-0.2501444677066113,0.58
growth_champion_v2,2020-01-01,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v3,2020-01-01,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v2,2020-01-01,2018_q4_selloff,,,0,,,,,,,,
growth_champion_v3,2020-01-01,2018_q4_selloff,,,0,,,,,,,,
growth_champion_v2,2020-01-01,covid_crash_2020,,,0,,,,,,,,
growth_champion_v3,2020-01-01,covid_crash_2020,,,0,,,,,,,,
growth_champion_v2,2020-01-01,2022_bear_market,2022-01-05,2022-12-27,50,-0.3242738662903399,-0.3311209043725202,0.2673430688961881,-1.3877541161862963,-1.980969020627028,-0.889526630749796,-0.3722439474278731,0.46
growth_champion_v3,2020-01-01,2022_bear_market,2022-01-05,2022-12-27,50,-0.178623007855335,-0.1828118135607717,0.1388639018265728,-1.405367673439916,-1.838952067287903,-1.0080814429409028,-0.1813462739949363,0.46
growth_champion_v2,2020-01-01,2024_ai_bull_market,2024-01-03,2024-12-31,51,0.5645372170410838,0.5688837683608514,0.308874345948933,1.640035481619397,3.87013266629489,4.215969522627922,-0.1349354556069588,0.5686274509803921
growth_champion_v3,2020-01-01,2024_ai_bull_market,2024-01-03,2024-12-31,51,0.5645372170410838,0.5688837683608514,0.308874345948933,1.640035481619397,3.87013266629489,4.215969522627922,-0.1349354556069588,0.5686274509803921
growth_champion_v2,2022-01-03,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v3,2022-01-03,2011_euro_crisis,,,0,,,,,,,,
growth_champion_v2,2022-01-03,2018_q4_selloff,,,0,,,,,,,,
growth_champion_v3,2022-01-03,2018_q4_selloff,,,0,,,,,,,,
growth_champion_v2,2022-01-03,covid_crash_2020,,,0,,,,,,,,
growth_champion_v3,2022-01-03,covid_crash_2020,,,0,,,,,,,,
growth_champion_v2,2022-01-03,2022_bear_market,,,0,,,,,,,,
growth_champion_v3,2022-01-03,2022_bear_market,,,0,,,,,,,,
growth_champion_v2,2022-01-03,2024_ai_bull_market,2024-01-03,2024-12-31,51,1.155078638632344,1.1653596629400926,0.3767506148266787,2.283664551046791,6.278605873035003,7.179007885991334,-0.1623287899173509,0.5490196078431373
growth_champion_v3,2022-01-03,2024_ai_bull_market,2024-01-03,2024-12-31,51,1.155078638632344,1.1653596629400926,0.3767506148266787,2.283664551046791,6.278605873035003,7.179007885991334,-0.1623287899173509,0.5490196078431373
