date,candidate,portfolio_return,selected_count,cash_proxy,turnover
2022-10-12,candidate_C_expected_signal_volatility,0.02761889874953834,2,2.220446049250313e-16,0.6666666666666666
2022-10-19,candidate_C_expected_signal_volatility,-0.013226455123106398,2,2.220446049250313e-16,1.0
2022-10-26,candidate_C_expected_signal_volatility,-0.024047154851706297,2,2.220446049250313e-16,0.6666666666666666
2022-11-02,candidate_C_expected_signal_volatility,0.00017098306347944,2,0.6000000000000002,0.6666666666666666
2022-11-09,candidate_C_expected_signal_volatility,0.07878352078941868,2,2.220446049250313e-16,1.0
2022-11-16,candidate_C_expected_signal_volatility,-0.016444448845177095,2,2.220446049250313e-16,0.6666666666666666
2022-11-23,candidate_C_expected_signal_volatility,-0.016127793491765696,2,2.220446049250313e-16,0.6666666666666666
2022-12-01,candidate_C_expected_signal_volatility,-0.011734752296787847,2,2.220446049250313e-16,1.0
2022-12-08,candidate_C_expected_signal_volatility,-0.018231616837597296,2,1.1102230246251565e-16,1.0
2022-12-15,candidate_C_expected_signal_volatility,-0.0006492453999326798,2,0.6000000000000002,1.0
2022-12-22,candidate_C_expected_signal_volatility,0.012383081898507646,2,2.220446049250313e-16,0.6666666666666666
2022-12-30,candidate_C_expected_signal_volatility,-0.04624021879381678,2,2.220446049250313e-16,0.6666666666666666
2023-01-09,candidate_C_expected_signal_volatility,-0.002521346364191779,2,0.6000000000000001,0.6666666666666666
2023-01-17,candidate_C_expected_signal_volatility,-0.07969569360763763,2,2.220446049250313e-16,0.0
2023-01-24,candidate_C_expected_signal_volatility,0.010380827947808847,2,2.220446049250313e-16,0.6666666666666666
2023-01-31,candidate_C_expected_signal_volatility,0.0032347990347662003,2,1.1102230246251565e-16,0.0
2023-02-07,candidate_C_expected_signal_volatility,-0.015318870630595748,3,2.220446049250313e-16,1.0
2023-02-14,candidate_C_expected_signal_volatility,0.007417852678740847,2,2.220446049250313e-16,0.3333333333333333
2023-02-22,candidate_C_expected_signal_volatility,0.0057002316659308,2,0.0,0.6666666666666666
2023-03-01,candidate_C_expected_signal_volatility,0.016769785080934248,2,1.1102230246251565e-16,0.6666666666666666
2023-03-08,candidate_C_expected_signal_volatility,-0.011473191357339948,2,2.220446049250313e-16,0.6666666666666666
2023-03-15,candidate_C_expected_signal_volatility,0.0124503222612656,2,2.220446049250313e-16,1.0
2023-03-22,candidate_C_expected_signal_volatility,0.024621260478924586,2,5.551115123125783e-16,1.0
2023-03-29,candidate_C_expected_signal_volatility,0.013774527721143045,2,3.3306690738754696e-16,1.0
2023-04-05,candidate_C_expected_signal_volatility,0.018600327555861995,2,2.220446049250313e-16,0.6666666666666666
2023-04-13,candidate_C_expected_signal_volatility,0.024974830073527146,2,2.220446049250313e-16,1.0
2023-04-20,candidate_C_expected_signal_volatility,-0.007562992658185049,2,2.220446049250313e-16,1.0
2023-04-27,candidate_C_expected_signal_volatility,0.01716795367105745,2,1.1102230246251565e-16,1.0
2023-05-04,candidate_C_expected_signal_volatility,0.005171345102908478,2,0.6000000000000002,0.6666666666666666
2023-05-11,candidate_C_expected_signal_volatility,0.0022385238277185995,2,1.1102230246251565e-16,0.6666666666666666
2023-05-18,candidate_C_expected_signal_volatility,-0.0014116084466987498,2,2.220446049250313e-16,0.0
2023-05-25,candidate_C_expected_signal_volatility,0.0853333844989559,2,4.440892098500626e-16,1.0
2023-06-02,candidate_C_expected_signal_volatility,-0.008482208396998998,2,2.220446049250313e-16,0.6666666666666666
2023-06-09,candidate_C_expected_signal_volatility,0.03382912417544844,2,2.220446049250313e-16,0.6666666666666666
2023-06-16,candidate_C_expected_signal_volatility,0.017283836740919642,2,3.3306690738754696e-16,0.0
2023-06-26,candidate_C_expected_signal_volatility,0.005688531094182148,2,5.551115123125783e-16,0.6666666666666666
2023-07-03,candidate_C_expected_signal_volatility,0.0036213704834400988,2,4.440892098500626e-16,0.6666666666666666
2023-07-11,candidate_C_expected_signal_volatility,-0.009161442691082046,2,4.440892098500626e-16,0.6666666666666666
2023-07-18,candidate_C_expected_signal_volatility,-0.010332634078823948,2,2.220446049250313e-16,1.0
2023-07-25,candidate_C_expected_signal_volatility,0.0014940524611197995,2,3.3306690738754696e-16,1.0
2023-08-01,candidate_C_expected_signal_volatility,-0.031156918794677843,2,1.1102230246251565e-16,1.0
2023-08-08,candidate_C_expected_signal_volatility,-0.0027974629854113494,2,2.220446049250313e-16,0.0
2023-08-15,candidate_C_expected_signal_volatility,-0.003574834119589149,2,2.220446049250313e-16,1.0
2023-08-22,candidate_C_expected_signal_volatility,0.009964049317900169,2,0.6000000000000004,1.0
2023-08-29,candidate_C_expected_signal_volatility,0.008098844418925548,2,1.1102230246251565e-16,0.6666666666666666
2023-09-06,candidate_C_expected_signal_volatility,-0.017474301806101197,2,1.1102230246251565e-16,1.0
2023-09-13,candidate_C_expected_signal_volatility,0.011813136704678245,2,4.440892098500626e-16,1.0
2023-09-20,candidate_C_expected_signal_volatility,-0.02235981102958559,2,4.440892098500626e-16,0.6666666666666666
2023-09-27,candidate_C_expected_signal_volatility,0.009042802943140651,2,0.6000000000000004,0.6666666666666666
2023-10-04,candidate_C_expected_signal_volatility,0.004793676615114999,2,4.440892098500626e-16,0.6666666666666666
2023-10-11,candidate_C_expected_signal_volatility,-0.0033514763069530493,2,2.220446049250313e-16,0.6666666666666666
2023-10-18,candidate_C_expected_signal_volatility,-0.0012676303961511996,2,4.440892098500626e-16,0.6666666666666666
2023-10-25,candidate_C_expected_signal_volatility,-0.02083884666008175,2,0.0,1.0
2023-11-01,candidate_C_expected_signal_volatility,0.027181206333382092,2,4.440892098500626e-16,0.0
2023-11-08,candidate_C_expected_signal_volatility,-0.005173050050082499,2,1.1102230246251565e-16,0.6666666666666666
