date,window,rolling_return,rolling_sharpe,rolling_max_drawdown,rolling_volatility,rolling_exposure
2023-05-11,3m,0.015062443223502697,0.42724958832065973,-0.07329391823198805,0.17695244671529686,0.5431758602820775
2023-05-18,3m,0.1856542880269194,2.544154001272705,-0.07329391823198805,0.2856236191639975,0.5688908872012598
2023-05-25,3m,0.18551236722213416,2.542328468796493,-0.07329391823198805,0.28563879118137014,0.5862045601132322
2023-06-02,3m,0.19475713804905026,2.658538554562192,-0.07329391823198783,0.28497673138845886,0.5934084400697291
2023-06-09,3m,0.22728913199868095,3.088230822432622,-0.07329391823198805,0.2803614408123279,0.6004259236585255
2023-06-16,3m,0.18693004932577661,2.5764753236979425,-0.07329391823198794,0.2835075692747543,0.6072082127913441
2023-06-26,3m,0.2088848992186605,2.8403507381461806,-0.07329391823198794,0.2834428094291731,0.6116701598731463
2023-07-03,3m,0.18672016503763733,2.538120418954944,-0.07329391823198805,0.2880172469232163,0.6159681797246288
2023-07-11,3m,0.2390842899929293,3.0814221301441194,-0.05292560186868156,0.29499687966813354,0.6193849789647873
2023-07-18,3m,0.24186020869342073,3.123244257553512,-0.02786550119158615,0.29386382195314487,0.6104164967399638
2023-07-25,3m,0.27243284370293086,3.582212927081276,-0.021074419121505317,0.2830856630352438,0.6026835622775774
2023-08-01,3m,0.29528493017330626,3.968348603876849,-0.031261688887277095,0.2731989361601008,0.599917688786501
2023-08-08,3m,0.23353105430603383,3.2431142631755825,-0.03639968981435093,0.27266259275392624,0.5847199912707299
2023-08-15,3m,0.1872953516502862,2.7135606518128035,-0.03639968981435082,0.2680507630349443,0.5687089498095651
2023-08-22,3m,0.061542493390959185,1.966058844487002,-0.03639968981435082,0.1261898930397193,0.5597990800170116
2023-08-29,3m,0.0393062298648863,1.2352486978408643,-0.04072712063792583,0.13245079156969472,0.5739661333013812
2023-09-06,3m,0.0463703799280728,1.4168462159373003,-0.04072712063792594,0.13496296784926187,0.5977980038099975
2023-09-13,3m,-0.006516836879973398,-0.1005810253450839,-0.05614584885172702,0.15003579267334358,0.621433702752342
2023-09-20,3m,0.013420614378006457,0.42985753323150433,-0.056145848851726576,0.15075650302952298,0.641013822063987
2023-09-27,3m,-0.029993229463398885,-0.7511789602945852,-0.06420965391138389,0.14806922256622432,0.6647916836331647
2023-10-04,3m,0.017603132937231925,0.5096685297860458,-0.06420965391138389,0.16349029574174928,0.6887773142135034
2023-10-11,3m,-0.04314345925549978,-1.2791080266033434,-0.045779411089341915,0.13141515345042507,0.7251698324926497
2023-10-18,3m,-0.1071821375470361,-2.1129814188326272,-0.10557697497276786,0.20422781625048755,0.7624091706983163
2023-10-25,3m,-0.10633122772374748,-2.0929597950912853,-0.10503113175556,0.20435706018228966,0.7931081858704692
2023-11-01,3m,-0.07641282339977906,-1.385701641160299,-0.10503113175556023,0.21269866107416088,0.82106210344061
2023-11-08,3m,-0.03227563881316664,-0.44835993730872387,-0.10503113175556011,0.23182782537223484,0.8472635342335031
2023-11-15,3m,-0.011166777511690484,-0.06751435085707522,-0.10503113175556011,0.23779494081223965,0.8677487932319787
2023-11-22,3m,0.0036768009483842956,0.18487413383338655,-0.10503113175556,0.24166592405630866,0.874952094145979
2023-11-30,3m,0.021778242889678445,0.48481989183516466,-0.10503113175556011,0.23904967130395488,0.8700968724525845
2023-12-07,3m,0.016190542200441138,0.39344958144321235,-0.09789852524186338,0.23771624729589264,0.8663519596924547
2023-12-14,3m,0.06414405562139991,1.2245368595242705,-0.09789852524186349,0.22573060639804957,0.8656408757611166
2023-12-21,3m,0.06395285437388276,1.2214163911804499,-0.09789852524186338,0.22570990357273255,0.8683837694483856
2023-12-29,3m,0.06856097262610317,1.307163764165478,-0.09789852524186349,0.2239356012861895,0.8700199740235329
2024-01-08,3m,0.02108234042055379,0.4995755207231798,-0.08571955694338496,0.21599198105859768,0.8732068446053403
