model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,stress_period
2008-01-01_qqq_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.11068759683980811,-0.11430048786202374,0.14866788463432673,-0.7470354847616381,-0.8517617302321192,-0.6633814397188207,-0.17229979770080828,0.52,2008-01-01,qqq_trend_filter,2022_bear_market
2008-01-01_qqq_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.16360606951292767,0.5686274509803921,2008-01-01,qqq_trend_filter,2024_ai_bull_market
2008-01-01_dual_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.11838373321554818,-0.22342507640312903,0.09730310767478441,-2.5435094725192675,-3.8129272435063815,-1.724405561705326,-0.1295664322621275,0.3076923076923077,2008-01-01,dual_trend_filter,2011_euro_crisis
2008-01-01_dual_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.05644340113410984,-0.2079999098081622,0.15953395543957327,-1.3781346845129436,-1.812210556356635,-2.4654971945320256,-0.08436428573898358,0.38461538461538464,2008-01-01,dual_trend_filter,2018_q4_selloff
2008-01-01_dual_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.09777468123901345,-0.3861864639313184,0.23477497942396466,-1.9491095684432318,-4.720610575728273,-3.020786887208708,-0.1278430019564093,0.6363636363636364,2008-01-01,dual_trend_filter,covid_crash_2020
2008-01-01_dual_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.10574614303862273,-0.10920783458351846,0.13627856052957216,-0.785626115871263,-0.8645829172546651,-0.6985142395569289,-0.1563430326814662,0.52,2008-01-01,dual_trend_filter,2022_bear_market
2008-01-01_dual_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.16360606951292767,0.5686274509803921,2008-01-01,dual_trend_filter,2024_ai_bull_market
2008-01-01_realized_volatility_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.09990797594932954,-0.190419827769864,0.1383962737456829,-1.4542690509993055,-2.722306701788138,-1.3036158478348925,-0.14607050695657187,0.3076923076923077,2008-01-01,realized_volatility_filter,2011_euro_crisis
2008-01-01_realized_volatility_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.08437438557112797,-0.29798582523294836,0.1970806327751058,-1.6900317255318376,-2.4965541621425533,-2.581746838711251,-0.11542023437964044,0.38461538461538464,2008-01-01,realized_volatility_filter,2018_q4_selloff
2008-01-01_realized_volatility_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.07771478433488355,-0.31870049948274615,0.22975521099328935,-1.5471084729562106,-3.5592199384402017,-2.7875246812584917,-0.11433100543485109,0.6363636363636364,2008-01-01,realized_volatility_filter,covid_crash_2020
2008-01-01_realized_volatility_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.18692537802057807,-0.19274321890420154,0.2156310662907583,-0.8901703999104942,-1.073061245607538,-0.6567611624330082,-0.29347536049509015,0.52,2008-01-01,realized_volatility_filter,2022_bear_market
2008-01-01_realized_volatility_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5325259068890893,0.5365866190243178,0.2771680571559863,1.7170458358128677,4.256396301239209,3.8303865055273505,-0.14008680801532924,0.5686274509803921,2008-01-01,realized_volatility_filter,2024_ai_bull_market
2008-01-01_drawdown_aware_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.14156742446417592,-0.2638656816802889,0.13815360504432134,-2.141715051499058,-3.8116357310385887,-1.6637693329478362,-0.15859511078544553,0.3076923076923077,2008-01-01,drawdown_aware_trend_filter,2011_euro_crisis
2008-01-01_drawdown_aware_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.10026766113130059,-0.34563055748657434,0.1989442207710685,-2.023054553733147,-3.0600667712538945,-2.7238224071421926,-0.1268917373542009,0.38461538461538464,2008-01-01,drawdown_aware_trend_filter,2018_q4_selloff
2008-01-01_drawdown_aware_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.16803967393913877,-0.5821636276192719,0.2996296279517403,-2.7315506294053074,-4.071099083763073,-3.144861696199615,-0.18511581234964425,0.6363636363636364,2008-01-01,drawdown_aware_trend_filter,covid_crash_2020
2008-01-01_drawdown_aware_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.15149242271558827,-0.15631583738777666,0.15529742802588603,-1.0224512889217536,-1.0429769193121619,-0.7915898062186137,-0.19747075588869678,0.52,2008-01-01,drawdown_aware_trend_filter,2022_bear_market
2008-01-01_drawdown_aware_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.16360606951292767,0.5686274509803921,2008-01-01,drawdown_aware_trend_filter,2024_ai_bull_market
2010-01-01_base_growth_v2_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.17200008458049487,-0.31530429109850455,0.16390483222737473,-2.2200300445315264,-3.4056832154636845,-1.689539360724561,-0.18662145341395653,0.34615384615384615,2010-01-01,base_growth_v2,2011_euro_crisis
