date,model_mode,growth_paper_variant,portfolio_value,daily_return,cumulative_return,volatility,Sharpe,max_drawdown,cash_weight,exposure,uncapped_exposure,vol_target_exposure,exposure_cap,exposure_cap_60,dual_trend_cap,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,turnover,data_source,raw_target_current_features_available,raw_target_feature_source,fallback_reason,growth_model_version
2026-07-02,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,90682.88763045328,-0.0239168405732587,-0.0931711236954663,0.3056480752366619,-7.145511823560722,-0.1076287287264722,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.4,744.780029296875,688.7357443237305,712.5999755859375,634.0573635864258,False,False,SPY and QQQ above 200D MA,0.4499999999999996,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-06,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,91535.53585958184,0.0094025262252704,-0.0846446414041804,0.303184365565064,-5.952014995025166,-0.1076287287264722,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.4,751.280029296875,689.2283087158203,722.8200073242188,634.7264990234376,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-08,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,90381.05875516038,-0.0126123378596097,-0.0961894124483951,0.2922014462280828,-6.537377168648253,-0.110598896794452,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.4,745.4000244140625,690.159066772461,711.4400024414062,635.9261737060547,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-09,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,91767.77492123267,0.0153429953706216,-0.082322250787672,0.2967590944934379,-5.046558297256465,-0.110598896794452,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.4,751.7100219726562,690.6263842773437,723.280029296875,636.5569100952148,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-10,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,91282.13892269076,0.0,-0.082322250787672,0.2793406000491883,-4.691085225513785,-0.110598896794452,0.5649591405844284,0.4350408594155716,0.4350408594155716,0.4350408594155716,0.6,0.6,0.6,0.4350408594155716,754.9500122070312,691.0943310546875,725.510009765625,637.181121520996,False,False,SPY and QQQ above 200D MA,0.4350408594155714,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-13,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,90228.5728636242,-0.0115418642847409,-0.0929139628262072,0.279477361366724,-5.339233621515223,-0.110598896794452,0.5649591405844284,0.4350408594155715,0.4350408594155716,0.4350408594155716,0.6,0.6,0.6,0.4350408594155715,749.1699829101562,691.5513778686524,711.739990234375,637.7564318847657,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-14,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,89445.2430247691,-0.0086816161886885,-0.1007889356510686,0.2713288124330734,-5.65038018415027,-0.1151250896350992,0.5649591405844284,0.4350408594155715,0.4350408594155716,0.4350408594155716,0.6,0.6,0.6,0.4350408594155715,749.1699829101562,691.5513778686524,711.739990234375,637.7564318847657,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-15,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,89873.46707275428,0.0047875553076266,-0.0964839129472682,0.2666309074215365,-5.179115781893161,-0.1151250896350991,0.5649591405844284,0.4350408594155715,0.4350408594155716,0.4350408594155716,0.6,0.6,0.6,0.4350408594155715,754.8099975585938,692.5430242919922,717.739990234375,639.01056640625,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-17,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,89110.24117567019,0.0,-0.1041567767916383,0.2539127779106512,-5.316089956952862,-0.1184392371645701,0.5962376282132245,0.4037623717867756,0.4037623717867756,0.4037623717867756,0.6,0.6,0.6,0.4037623717867756,743.2899780273438,693.4400308227539,695.3300170898438,640.058616027832,False,False,SPY and QQQ above 200D MA,0.4350408594155715,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-20,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,90002.10992584507,0.0100085998916405,-0.0874409819362966,0.2590498577364372,-4.3108023977844985,-0.1151250896350991,0.5962376282132245,0.4037623717867756,0.4037623717867756,0.4037623717867756,0.6,0.6,0.6,0.4037623717867756,742.0900268554688,693.846950378418,696.0599975585938,640.5447039794922,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-23,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,89397.63106384191,-0.0003142706487317,-0.0935699786587552,0.2474723192196032,-4.413214107104341,-0.1151250896350991,0.5962376282132245,0.4037623717867756,0.4037623717867756,0.4037623717867756,0.6,0.6,0.6,0.4037623717867756,739.6599731445312,695.0717510986328,694.1699829101562,642.0494085693359,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-24,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,88931.24839722527,-0.0052169465909402,-0.0924870479384312,0.2473896936495005,-4.359724815290162,-0.1151250896350991,0.5290911973398789,0.4709088026601212,0.4709088026601212,0.4709088026601212,0.6,0.6,0.6,0.4709088026601212,738.9299926757812,695.4352688598633,684.22998046875,642.4391149902344,False,False,SPY and QQQ above 200D MA,0.2690276167667333,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-07-27,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,89985.02889505081,0.0118493838422088,-0.0817335786276775,0.2475221032864724,-3.6434299065183686,-0.1151250896350991,0.5290911973398789,0.4709088026601212,0.4709088026601212,0.4709088026601212,0.6,0.6,0.6,0.4709088026601212,739.0900268554688,695.8058840942383,682.1199951171875,642.824430847168,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
2026-08-13,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,98299.2163322534,0.004289601970889148,-0.07819836753461629,0.23883140224527835,-3.3113627337223237,-0.11512508963509915,0.5290911973398789,0.4709088026601212,0.4709088026601212,0.4709088026601212,0.6,0.6,0.6,0.4709088026601212,777.6599731445312,702.2683215332031,733.030029296875,649.473754272461,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen
