date,gross_daily_return,exposure,cash,fully_invested_equivalent_return,cash_drag_return
2011-03-30,-0.0057054366101006,0.6,0.4,-0.009509061016834333,0.0038036244067337337
2011-04-06,-0.0044778452806517,0.6,0.4,-0.007463075467752833,0.0029852301871011334
2011-04-13,0.0241274771936135,0.6,0.4,0.04021246198935584,-0.016084984795742337
2011-04-20,0.0229595006493964,0.6,0.4,0.038265834415660664,-0.015306333766264266
2011-04-28,-0.0164289932755342,0.6,0.4,-0.027381655459223667,0.010952662183689468
2011-05-05,0.0120346277913884,0.6,0.4,0.020057712985647333,-0.008023085194258933
2011-05-12,0.0071634098034334,0.6,0.4,0.011939016339055666,-0.004775606535622266
2011-05-19,0.0006398003335509,0.6,0.4,0.0010663338892515,-0.0004265335557006
2011-05-26,-0.0287105889030139,0.6,0.4,-0.04785098150502316,0.019140392602009264
2011-06-03,-0.0160761067469428,0.6,0.4,-0.026793511244904665,0.010717404497961866
2011-06-10,-0.0123769213595236,0.6,0.4,-0.020628202265872666,0.008251280906349067
2011-06-17,0.0189046967751284,0.4,0.6,0.047261741937821,-0.028357045162692596
2011-06-24,0.0464423369782225,0.6,0.4,0.07740389496370416,-0.030961557985481662
2011-07-01,-0.0188545647244945,0.6,0.4,-0.031424274540824165,0.012569709816329665
2011-07-11,0.0146740234231431,0.6,0.4,0.024456705705238502,-0.009782682282095402
2011-07-18,-0.0302147473276882,0.6,0.4,-0.05035791221281367,0.020143164885125468
2011-07-25,-0.0264913033898776,0.6,0.4,-0.044152172316462665,0.017660868926585065
2011-08-01,-0.0122492431386554,0.6,0.4,-0.020415405231092334,0.008166162092436934
2011-08-08,-0.0085599952806742,0.25,0.75,-0.0342399811226968,0.0256799858420226
2011-08-15,-0.0020577210426227,0.25,0.75,-0.0082308841704908,0.0061731631278680995
2011-08-22,0.0110010656328782,0.25,0.75,0.0440042625315128,-0.0330031968986346
2011-08-29,-7.139651381244996e-08,0.25,0.75,-2.8558605524979985e-07,2.141895414373499e-07
2011-09-06,-0.0042235753132361,0.25,0.75,-0.0168943012529444,0.012670725939708298
2011-09-13,0.0114107293570142,0.25,0.75,0.0456429174280568,-0.0342321880710426
2011-09-20,-0.0195578256966578,0.4,0.6,-0.04889456424164449,0.029336738544986692
2011-09-27,-0.0118916871216408,0.25,0.75,-0.0475667484865632,0.0356750613649224
2011-10-04,0.0116983994525135,0.25,0.75,0.046793597810054,-0.035095198357540505
2011-10-11,-0.0047674664917717,0.25,0.75,-0.0190698659670868,0.0143023994753151
2011-10-18,-0.0222647350910231,0.4,0.6,-0.05566183772755775,0.03339710263653465
2011-10-25,0.0064003415850327,0.4,0.6,0.01600085396258175,-0.00960051237754905
2011-11-01,-0.0045713246168537,0.4,0.6,-0.011428311542134249,0.006856986925280549
2011-11-08,-0.0115492675372058,0.4,0.6,-0.028873168843014496,0.017323901305808697
2011-11-15,-0.018711470704749,0.4,0.6,-0.046778676761872494,0.028067206057123494
2011-11-22,0.0186945487459207,0.25,0.75,0.0747781949836828,-0.056083646237762096
2011-11-30,-0.0008305791756835,0.25,0.75,-0.003322316702734,0.0024917375270505
2011-12-07,-0.0177528542521499,0.6,0.4,-0.029588090420249836,0.011835236168099936
2011-12-14,0.0083215055477277,0.25,0.75,0.0332860221909108,-0.0249645166431831
2011-12-21,-0.0032530847460288,0.4,0.6,-0.008132711865072,0.004879627119043199
2011-12-29,0.012278711801858,0.4,0.6,0.030696779504644996,-0.018418067702787
2012-01-06,0.0049792012798117,0.6,0.4,0.008298668799686167,-0.003319467519874467
2012-01-13,0.0209292838383119,0.6,0.4,0.03488213973051983,-0.013952855892207933
2012-01-23,0.0204743946425563,0.6,0.4,0.034123991070927166,-0.013649596428370867
2012-01-30,0.0302696707556567,0.6,0.4,0.05044945125942783,-0.020179780503771134
2012-02-06,0.0155213337370484,0.6,0.4,0.025868889561747335,-0.010347555824698935
2012-02-13,-0.0375048005840786,0.6,0.4,-0.06250800097346434,0.025003200389385742
2012-02-21,0.0060488221809509,0.6,0.4,0.010081370301584833,-0.004032548120633933
2012-02-28,-0.0045084234770864,0.6,0.4,-0.007514039128477334,0.003005615651390934
2012-03-06,0.0163079589380349,0.6,0.4,0.0271799315633915,-0.0108719726253566
2012-03-13,0.031889234355182,0.6,0.4,0.05314872392530333,-0.02125948957012133
2012-03-20,-0.0053291228262736,0.6,0.4,-0.008881871377122668,0.0035527485508490674
2012-03-27,0.0034726640466862,0.6,0.4,0.005787773411143666,-0.0023151093644574665
2012-04-03,-0.0071185068168737,0.6,0.4,-0.011864178028122833,0.0047456712112491336
2012-04-11,0.0015094567857296,0.6,0.4,0.0025157613095493337,-0.0010063045238197336
2012-04-18,-0.0184762126981032,0.6,0.4,-0.030793687830172,0.012317475132068802
2012-04-25,-0.0018682452450369,0.6,0.4,-0.0031137420750615,0.0012454968300246
2012-05-02,-0.0321061064107065,0.6,0.4,-0.0535101773511775,0.021404070940471004
2012-05-09,-0.0241611811308886,0.6,0.4,-0.040268635218147664,0.016107454087259065
2012-05-16,0.0216835948766968,0.6,0.4,0.036139324794494665,-0.014455729917797866
2012-05-23,-0.0272740643916725,0.6,0.4,-0.04545677398612084,0.018182709594448336
2012-05-31,0.0203370235367194,0.6,0.4,0.03389503922786567,-0.013558015691146272
2012-06-07,-0.0129331852114947,0.6,0.4,-0.0215553086858245,0.0086221234743298
2012-06-14,0.0026477720659326,0.6,0.4,0.0044129534432210005,-0.0017651813772884004
2012-06-21,-0.0382483300573176,0.6,0.4,-0.063747216762196,0.025498886704878397
