company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Mcdonald'S Corp.,MCD,MCD,NYSE,24:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Mondelez,MDLZ,MDLZ,NASDAQ,15:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Medtronic Public Limited Company,MDT,MDT,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Mercadolibre Inc.,MELI,MELI,NASDAQ,120:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Meta Platforms Inc,META,META,NASDAQ,24:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Mizuho Financial Group,MFG,MFG,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Magazine Luiza S.A.,MGLU3,MGLU3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Marsh & Mclennan Companies Inc.,MMC,MMC,NYSE,16:1,True,False,True,False,True,cedears_byma_list.txt,parsed
3M Company,MMM,MMM,NYSE,10:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Altria Group Inc.,MO,MO,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
The Mosaic Co,MOS,MOS,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
MP Materials Corp.,MP,MP,NYSE,10:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Merck & Co. Inc.,MRK,MRK,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Moderna Inc,MRNA,MRNA,NASDAQ,19:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Marvell Technology Inc,MRVL,MRVL,NASDAQ,14:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Microsoft Corp.,MSFT,MSFT,NASDAQ,30:1,True,True,False,False,True,cedears_byma_list.txt,parsed
"Motorola Solutions, Inc.",MSI,MSI,NYSE,20:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Microstrategy Inc Cl A New,MSTR,MSTR,NASDAQ GS,20:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Micron Technology Inc,MU,MU,NASDAQ GS,5:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Mitsubishi Ufj Financial Group,MUFG,MUFG,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
McEwen Mining Inc,MUX,MUX,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
NATURA COSMETICOS SA,NATU3,NATU3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Nebius Group N.V.,NBIS,NBIS,NASDAQ GS,27:1,True,False,False,False,True,cedears_byma_list.txt,parsed
"NextEra Energy, Inc.",NEE,NEE,NYSE,19:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Newmont Corporation,NEM,NEM,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Netflix, Inc.",NFLX,NFLX,NASDAQ,48:1,True,True,False,True,True,cedears_byma_list.txt,parsed
Novagold Resources INC.,NG,NG,NYSE,1:4,True,False,True,False,True,cedears_byma_list.txt,parsed
National Grid Plc,NGG,NGG,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
NIO Inc.,NIO,NIO,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Nike Inc.,NKE,NKE,NYSE,12:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Nomura Holdings, Inc",NMR,NMR,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Nokia Corporation,NOKA,NOKA,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
SERVICENOW INC,NOW,NOW,NYSE,172:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Netease, Inc",NTES,NTES,NASDAQ,14:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Nucor Corp,NUE,NUE,NYSE,16:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Nvidia Corporation,NVDA,NVDA,NASDAQ,24:1,True,True,False,False,True,cedears_byma_list.txt,parsed
NOVO NORDISK A/S,NVO,NVO,NYSE,7:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Novartis Ag,NVS,NVS,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Nexgen Energy LTD,NXE,NXE,NYSE,01:01,True,False,True,False,True,cedears_byma_list.txt,parsed
Realty Income Corp.,O,O,NYSE,13:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Oklo Inc,OKLO,OKLO,NYSE,28:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Ondas Holdings Inc.,ONDS,ONDS,NASDAQ CM,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Orange S.A.,ORAN,ORAN,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Oracle Corporation,ORCL,ORCL,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
O'reilly Automotive Inc,ORLY,ORLY,NASDAQ,222:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Occidental Petroleum Corp.,OXY,OXY,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Pan American Silver Corp.,PAAS,PAAS,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",PAC,PAC,NYSE,16:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Pagseguro Digital Ltd,PAGS,PAGS,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Palo Alto Networks Inc,PANW,PANW,NASDAQ GS,50:1,True,True,False,False,True,cedears_byma_list.txt,parsed
UIPATH INC,PATH,PATH,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Pitney Bowes Inc,PBI,PBI,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
