scope,group,horizon,alpha,beta,r2,sample_size,MAE_before,MAE_after,RMSE_before,RMSE_after,bias_before,bias_after,IC_before,IC_after
ticker,TXN,5D,0.0009384516284862005,0.38353183462697266,0.018991596371446096,308,0.04583684004544077,0.04318470440806939,0.062325703981595,0.05936353296101368,-0.004445003650117829,-0.006860149072103827,0.13027867654733327,0.13027867654733327
ticker,VIST,5D,0.020677263776153032,-0.34779584269796987,0.026526251229315734,308,0.06637501446312757,0.061557239876618465,0.08688957829343212,0.08171324298391275,-0.0037208284828571148,0.011304357482652252,-0.16313537209059598,0.16313537209059598
ticker,YPF,5D,0.017417461577688694,0.05412890535592295,0.0016528455427655686,308,0.06155887602676295,0.05763749981506275,0.07900944435231247,0.07627883329708969,-0.004533530050484888,0.01195458446775954,-0.057843648888425026,-0.057843648888425026
global,all,10D,0.00870972318984774,0.0864539041193925,0.0007051805554231239,7084,0.0624565951636422,0.05965002922051655,0.08930042409831392,0.0852322243790885,-0.012073554737561429,-0.006528699270163715,0.03885677711735347,0.03885677711735347
regime,neutral,10D,0.007794594606829884,0.07318826928019138,0.00046006587859903636,5382,0.05848335080322879,0.05550977670498391,0.08576309962463832,0.08138827496731475,-0.0097047279080301,-0.005555097417460052,0.05014550083393584,0.05014550083393584
regime,risk_off,10D,0.017550983400931284,0.3740502845921882,0.0031174565979622537,1472,0.0803361947855026,0.07800920508946818,0.10373629998822793,0.10037002688148439,-0.022733275470452403,-0.006031378128469236,-0.050608866882607274,-0.050608866882607274
volatility_quintile,"(-0.0009834, 0.000902]",10D,0.013503760090140496,-0.23138219390354184,1.6558877458106025e-06,1456,0.062537673343108,0.06243629335615668,0.08481863884974702,0.08301608581949818,-0.01787767385925103,-0.0043506317436988375,-0.05015205609704348,0.05015205609704348
volatility_quintile,"(0.000902, 0.00189]",10D,0.008096882272373016,-1.3220045569226606,0.0004771418512361514,1416,0.06130785362099422,0.0605219847785084,0.08534314241755037,0.08371596392691869,-0.019238437007896153,-0.010611416024926244,-0.0467755576247875,0.0467755576247875
volatility_quintile,"(0.00189, 0.00341]",10D,0.011407968868757258,-0.25897128430135663,7.14706598038406e-05,1397,0.06118057582615092,0.06100387888299039,0.08707893460316618,0.08627116037951564,-0.010299912974148511,0.0022386477899667915,-0.10607474507273043,0.10607474507273043
volatility_quintile,"(0.00341, 0.0116]",10D,0.008117313458179946,0.5742436575173369,0.0016278741587655299,1383,0.059081741346570224,0.058222729414692795,0.08616330908074844,0.08462735720619068,-0.019087765077627,-0.009445562202094868,0.07064424457270091,0.07064424457270091
volatility_quintile,"(0.0116, 0.429]",10D,0.002686257922874716,0.11921243212608114,0.0068360340321167445,1432,0.06856069826983138,0.056413206640438404,0.10219500579406002,0.08849770779198209,0.006555221734907931,-0.010879139590620198,0.13863786745142678,0.13863786745142678
ticker,AAPL,10D,0.005116244836754895,-0.2514644596772182,0.0037345373671975324,308,0.044376926592655574,0.04323237398802915,0.05654175597685009,0.05399049867811196,-0.01025582226921595,-0.004228833975065637,-0.04794906585951362,0.04794906585951362
ticker,ADBE,10D,-2.5286270563803392e-05,0.054225905854726475,0.00036232945608827283,308,0.05472085086245672,0.05368233474361362,0.06672082216975307,0.06579929211139325,0.012708156123184655,0.013718401003177547,-0.0744181191942386,-0.0744181191942386
ticker,AMAT,10D,0.004958712004203949,0.5420456125409542,0.011288772043908102,308,0.07825897860563417,0.07417700396760059,0.09744822101981976,0.09332416436356768,-0.02566708362677535,-0.02359449736955214,0.11282747103642628,0.11282747103642628
ticker,AMD,10D,0.0023151064098851865,0.40858984485594824,0.0020672786379070107,308,0.10658610189253674,0.10279111115464162,0.1449829766982045,0.14121042510834064,-0.0341776920931457,-0.042981036247995055,-0.06752948543993322,-0.06752948543993322
ticker,AMZN,10D,0.007554250524053439,-0.4601372062805132,0.004125390666576467,308,0.04740603991420699,0.04933424799822688,0.06167834568754483,0.06370253805605329,-0.005883345556797692,0.0025942868857322726,0.2952718922868177,-0.2952718922868177
ticker,AVGO,10D,0.0196826225554862,-0.1773139427483077,0.0032684400947776693,308,0.07854185395711298,0.07299394662616744,0.09973206414825483,0.09418125567547186,-0.023266133758723242,-0.0061914330067791975,0.0036530633545558923,-0.0036530633545558923
ticker,CCJ,10D,0.014439717333953488,-0.05878758940682567,0.00024844765938558666,308,0.07560885675301106,0.0751081392130521,0.09459720246109139,0.09176358191024553,-0.01394604480403523,-0.013989678773725507,0.31535330341300494,-0.31535330341300494
ticker,COST,10D,0.009001423831594323,0.08666119813264486,0.0007718100373442782,308,0.03394692798186968,0.03067308363718951,0.04679945646031669,0.04323965162863929,0.001423793790609488,0.008753327306492333,0.024318964617472086,0.024318964617472086
ticker,CSCO,10D,0.0006742329128132322,0.01339226000531441,1.309610340904932e-05,308,0.04635579441020582,0.041633987649276914,0.06980990890842402,0.06336870663183052,-0.02172488639952136,-0.021851792645146056,-0.48635841770170135,-0.48635841770170135
ticker,GOOGL,10D,0.005843738616266667,-0.05039344377528866,0.000123576512218615,308,0.059615793257160044,0.05592372368735714,0.07447291981986855,0.07029679976073448,-0.009591632514007152,-0.01770327906932043,0.09650349650349653,-0.09650349650349653
ticker,INTC,10D,-0.008966033271558184,-0.09034933619413513,0.0002503223591038273,308,0.13044338311273557,0.12217498060917642,0.1821595312578718,0.17367511854916115,-0.04650124001105149,-0.07614429773576945,0.058261141843231404,-0.058261141843231404
ticker,META,10D,0.01374642604204178,-0.06190926321366119,0.0003234159244829282,308,0.0578729467557585,0.06108193833993336,0.07501080937331635,0.07615558160184473,0.0007932417237189914,0.015013005715158397,0.02932888007514874,-0.02932888007514874
ticker,MSFT,10D,0.005135623365157812,-0.304054996009998,0.004706500404206837,308,0.03786188526809494,0.03852680836599727,0.05321621212113637,0.0538541805512075,-0.0019965399882278757,0.0028847023975226292,0.09792297254983824,-0.09792297254983824
ticker,NFLX,10D,0.012053145333779786,0.5606573515022517,0.005890787759195382,308,0.05662401714906246,0.057618664434587755,0.07452729763381505,0.07425801717484233,0.005923262831328378,0.01600131933002871,0.2764847093205302,0.2764847093205302
ticker,NVDA,10D,0.02378128608349816,0.07847493810936391,0.0008069713198440853,308,0.05459984338604781,0.05523509693846487,0.0730543502673668,0.0693425987272951,-0.020926211872893796,0.0038642612987659247,0.035549525101763915,0.035549525101763915
ticker,PEP,10D,-0.001624988508532331,-0.0049257573550296665,2.9175029092609606e-06,308,0.03962335368406948,0.03489093933473936,0.04969621469579336,0.04448183195359384,0.0017972992944547447,-0.0021866122321732187,-0.14276171589604428,0.14276171589604428
