window_start,month,monthly_return
2008-01-01,2024-01,0.05008076247640636
2008-01-01,2024-02,0.3179900361075252
2008-01-01,2024-03,-0.04270124136880449
2008-01-01,2024-04,-0.03949054771679161
2008-01-01,2024-05,0.051577374046172464
2008-01-01,2024-06,0.007597597222202657
2008-01-01,2024-07,-0.09713146990875443
2008-01-01,2024-08,-0.03309531429958845
2008-01-01,2024-09,0.013089764405187498
2008-01-01,2024-10,0.08491990839664587
2008-01-01,2024-11,0.11734561897920703
2008-01-01,2024-12,0.030920733471416106
2008-01-01,2025-01,-0.03680123848433903
2008-01-01,2025-02,-0.09276914878213427
2008-01-01,2025-03,-0.06694159198319227
2008-01-01,2025-04,-0.0010206269387292854
2008-01-01,2025-05,-0.017533774606509955
2008-01-01,2025-06,0.05707249889504773
2008-01-01,2025-07,-0.037176629976616304
2008-01-01,2025-08,-0.005007486737966582
2008-01-01,2025-09,0.03987662742384246
2008-01-01,2025-10,0.10170416561516316
2008-01-01,2025-11,0.037473246102396995
2008-01-01,2025-12,0.05454856862118107
2008-01-01,2026-01,0.08295679511921494
2008-01-01,2026-02,-0.009045771789537027
2008-01-01,2026-03,0.006413479832801494
2008-01-01,2026-04,0.1168842699717052
2008-01-01,2026-05,0.19207545062879716
2008-01-01,2026-06,0.012374176248423518
2010-01-01,2011-01,0.1337533201090837
2010-01-01,2011-02,-0.03579696726095838
2010-01-01,2011-03,-0.029255275894898736
2010-01-01,2011-04,0.02581514409329566
2010-01-01,2011-05,-0.00934658928953902
2010-01-01,2011-06,0.045711698632659115
2010-01-01,2011-07,-0.09370873833219728
2010-01-01,2011-08,-0.011902345966863348
2010-01-01,2011-09,-0.041035994082262994
2010-01-01,2011-10,-0.008197649657105233
2010-01-01,2011-11,-0.02381396793127666
2010-01-01,2011-12,-0.0041301075640455265
2010-01-01,2012-01,0.07871262622822961
2010-01-01,2012-02,-0.02108660795101802
2010-01-01,2012-03,0.04675093346029113
2010-01-01,2012-04,-0.025815597255558154
2010-01-01,2012-05,-0.04906757885266666
2010-01-01,2012-06,-0.03796415026439037
2010-01-01,2012-07,-0.03392548258826
2010-01-01,2012-08,0.019735906368276712
2010-01-01,2012-09,0.053687025153073
2010-01-01,2012-10,-0.04542923120841835
2010-01-01,2012-11,0.050135294657913
2010-01-01,2012-12,0.01989421805667324
2010-01-01,2013-01,0.12177709538363302
2010-01-01,2013-02,-0.05768986649214769
2010-01-01,2013-03,-0.030371873091261437
2010-01-01,2013-04,0.07183397969719407
2010-01-01,2013-05,0.01950859308010222
2010-01-01,2013-06,-0.011346730222883572
2010-01-01,2013-07,0.008416766769123285
2010-01-01,2013-08,-0.0013002597106007707
2010-01-01,2013-09,0.028829073231234403
2010-01-01,2013-10,-0.007884548049760354
2010-01-01,2013-11,0.08817827176605442
