model,calibration_method,threshold,sample_reduction,trades_kept,TP_rate,SL_rate,hit_rate,average_return,Sharpe,max_drawdown
average_probability_ensemble,raw,0.5,0.26843657817109146,248,0.29435483870967744,0.12096774193548387,0.5725806451612904,0.028836545410199536,0.9441443809858779,-0.5343680116165468
average_probability_ensemble,raw,0.55,0.5486725663716814,153,0.30718954248366015,0.10457516339869281,0.5424836601307189,0.030194388987039838,0.9413911520335163,-0.4785196841500098
average_probability_ensemble,platt,0.55,0.05899705014749268,319,0.31347962382445144,0.12539184952978055,0.5611285266457681,0.028983270935226763,0.9189092182680906,-0.8695646603169631
gradient_boosting_small,raw,0.5,0.05899705014749268,319,0.3072100313479624,0.12539184952978055,0.5611285266457681,0.02856886693946848,0.9093585086139682,-0.8695646603169633
gradient_boosting_small,raw,0.6,0.38348082595870203,209,0.3014354066985646,0.1339712918660287,0.5598086124401914,0.028025767208201356,0.9080813343461743,-0.5583099672370587
average_probability_ensemble,isotonic,0.5,0.1415929203539823,291,0.30927835051546393,0.12371134020618557,0.5532646048109966,0.027004206601602163,0.8847068658542316,-0.757925321861767
average_probability_ensemble,platt,0.6,0.32448377581120946,229,0.30131004366812225,0.1222707423580786,0.5633187772925764,0.026321789980755145,0.882226041618057,-0.5646863022709605
random_forest_small,platt,0.5,0.15929203539823011,285,0.3157894736842105,0.13333333333333333,0.5649122807017544,0.026925609266223845,0.8773720377112217,-0.7609311916009794
gradient_boosting_small,isotonic,0.6,0.46607669616519176,181,0.3259668508287293,0.143646408839779,0.5580110497237569,0.028714389815254912,0.8766380662445574,-0.5962097140602092
gradient_boosting_small,isotonic,0.65,0.46607669616519176,181,0.3259668508287293,0.143646408839779,0.5580110497237569,0.028714389815254912,0.8766380662445574,-0.5962097140602092
gradient_boosting_small,raw,0.55,0.14749262536873153,289,0.2975778546712803,0.1314878892733564,0.5432525951557093,0.025981971054554572,0.8216735984556038,-0.8296592079655996
gradient_boosting_small,isotonic,0.55,0.14749262536873153,289,0.2975778546712803,0.1314878892733564,0.5432525951557093,0.025981971054554572,0.8216735984556038,-0.8296592079655996
random_forest_small,platt,0.65,0.6725663716814159,111,0.2972972972972973,0.10810810810810811,0.4954954954954955,0.01829653366161358,0.6734851294941321,-0.5043765710353766
logistic_regression,isotonic,0.7,0.8672566371681416,45,0.37777777777777777,0.13333333333333333,0.5111111111111111,0.018419184032774427,0.5003194203676633,-0.701203372374382
gradient_boosting_small,raw,0.65,0.7256637168141593,93,0.2903225806451613,0.17204301075268819,0.4838709677419355,0.014377478212565478,0.46123274513117773,-0.5518061475202304
random_forest_small,raw,0.55,0.7079646017699115,99,0.29292929292929293,0.12121212121212122,0.45454545454545453,0.011736854549911408,0.4299743512061647,-0.5400495848614899
average_probability_ensemble,isotonic,0.65,0.7551622418879056,83,0.25301204819277107,0.14457831325301204,0.42168674698795183,0.010591237061720596,0.3521064031672787,-0.640956861637549
average_probability_ensemble,isotonic,0.7,0.8023598820058997,67,0.22388059701492538,0.11940298507462686,0.40298507462686567,0.0054361607611305915,0.18382973381136886,-0.6596234884902161
