date,model_mode,cash_weight,selected_count,realized_portfolio_return_1d,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d,realized_portfolio_return_30d,turnover,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,gate_decision,gate_reason,exposure,year,quarter,cash_bucket,volatility_regime,correlation_proxy_regime
2022-08-02,regime_gated_full_quant,0.5,4,0.0161630455648006,-0.0004380789209838,0.0239636612630252,-0.02740204890313,-0.0335727348854582,1.0,0.0004288532521241,0.0174152921107436,0.0246250966907192,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-08-09,regime_gated_full_quant,0.5,4,0.0084874206809451,0.016355897280627,0.0140733729391248,-0.0012490946083511,-0.02314252741989,1.0,0.0014392531148799,0.0191097413778238,0.0753151540057,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-08-16,regime_gated_full_quant,0.5,4,0.0010238895683737,0.0100714246568128,0.012488011231309,0.0850726959818598,0.0383958967358968,0.6666666666666666,0.0045679017408046,0.0194148080105814,0.2352792640707581,allow_full_quant,risk_on_with_sufficient_confidence,0.5,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-08-23,regime_gated_full_quant,0.5,3,0.0120189746154216,0.0183543451613301,0.0617307593025442,0.0653328319276153,0.1225800289708626,0.6,0.0030895850735828,0.0265346228620731,0.1164359896744164,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-08-30,regime_gated_full_quant,0.8,2,-0.0020305573371313,0.0197977032785878,0.0375477380879906,0.0102442701823056,0.0316138527722935,0.3333333333333333,0.0033148845814481,0.0312177713246248,0.1061858179104956,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-09-07,regime_gated_full_quant,0.8,4,0.0037347551018643,0.0097477002139163,-0.0036877030839988,0.003861700624451,-0.0169346107871571,0.8,0.0029519431728259,0.0249081414077989,0.1185131850866115,fallback_baseline,bearish_spy_or_negative_market_momentum,0.19999999999999996,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-09-14,regime_gated_full_quant,0.8,2,-0.0106705628813394,-0.0143137369051676,-0.0208355668689531,-0.0216598886307331,-0.0027877807478443,0.5,0.0027891196265276,0.0247188339585371,0.1128337862217171,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-09-21,regime_gated_full_quant,0.8,4,-0.0012131904255778,-0.0060881805368934,0.0159540403456231,0.0137518864771964,0.0371965257371695,0.8,0.0017758071274274,0.02216555439781,0.0801156197384736,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-09-28,regime_gated_full_quant,0.5,4,-0.0088331861503983,0.0572120919833915,0.0275990760580798,0.1143652016803811,0.0809245658700507,0.0,0.0012882171564781,0.0226774443907404,0.0568060992359489,fallback_baseline,risk_off_regime,0.5,2022,2022Q3,high_cash,high_volatility,high_correlation_proxy
2022-10-05,regime_gated_full_quant,0.8,4,0.0018173831723155,-0.012566287001128,-0.0007432348739127,0.0286449393868836,0.0227979415898071,0.4,0.0024534828576862,0.0321367374839337,0.0763451130940987,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
