source_key,source_file,exists,row_count,column_count,latest_date
reconstructed_results,reconstructed_growth_long_horizon_results.csv,True,5,18,
final_results,growth_final_selection_results.csv,True,10,24,
final_daily,growth_final_selection_daily_returns.csv,True,5254,14,2026-06-10
final_drawdowns,growth_final_selection_drawdowns.csv,True,5254,5,2026-06-10
final_stress,growth_final_selection_stress_periods.csv,True,50,14,
cost_results,growth_final_cost_slippage_results.csv,True,24,41,
cost_benchmarks,growth_final_after_costs_vs_benchmarks.csv,True,24,19,
advanced_costs,advanced_execution_costs.csv,True,4992,22,2026-06-02
capacity,capacity_analysis.csv,True,28,7,
growth_capacity,growth_capacity_analysis.csv,True,68,9,
operational_capacity,growth_operational_capacity_report.csv,True,28,9,
vol_fresh,growth_volatility_targeting_fresh.csv,True,24,16,2026-08-13
vol_pipeline_audit,growth_volatility_pipeline_audit.csv,True,24,16,2026-08-13
parameter_stability,parameter_stability_map.csv,True,900,25,
parameter_sensitivity,parameter_sensitivity_results.csv,True,900,25,
hmm_oos,hmm_out_of_sample_results.csv,True,93,13,
hmm_comparison,hmm_model_comparison.csv,True,3,18,
hmm_governance,hmm_governance.csv,True,1,10,
current_features,current_growth_features.csv,True,267,74,2026-08-13
current_allocation,current_growth_candidate_allocation.csv,True,4,70,2026-08-13
universe_quality,current_growth_universe_quality.csv,True,267,23,2026-08-13
tradability_report,growth_tradability_filter_report.csv,True,267,23,2026-08-13
tradability_exclusions,growth_tradability_exclusions.csv,True,82,23,2026-08-13
holdings_sanity,final_selected_holdings_audit.csv,True,4,23,2026-08-13
current_raw_target_features,current_raw_target_features.csv,True,267,45,2026-08-13
universe_quality_report,growth_universe_quality_report.csv,True,267,23,2026-08-13
universe_exclusions,growth_universe_exclusions.csv,True,215,3,2026-08-13
holdings_replacements,final_selected_holdings_replacements.csv,True,0,0,
portfolio_explainability,growth_portfolio_explainability.csv,True,4,109,2026-07-27
top20_candidates,growth_top20_candidates.csv,True,40,85,2026-07-27
rejection_report,growth_candidate_rejection_report.csv,True,80,85,2026-07-27
pending_signals,growth_pending_decision_signals.csv,True,4,72,2026-07-27
rebalance_schedule,growth_rebalance_schedule.csv,True,905,10,
risk_contribution,risk_contribution_reconciliation.csv,True,3,14,
execution_cost_reconciliation,execution_cost_reconciliation.csv,True,11,3,
decision_funnel,growth_decision_funnel.csv,True,10,7,
benchmark_chart_audit,benchmark_chart_source_audit.csv,True,4,8,
benchmark_chart_reconciliation,benchmark_chart_reconciliation.csv,True,2,7,
full_cscv_results,full_cscv_results.csv,True,1246,11,
pbo_distribution,pbo_distribution.csv,True,3,7,
deflated_sharpe_exact,deflated_sharpe_exact.csv,True,60,11,
effective_trial_count,effective_trial_count.csv,True,1,5,
reality_check_results,reality_check_results.csv,True,1,7,
purged_walk_forward_results,purged_walk_forward_results.csv,True,89,29,
purged_walk_forward_folds,purged_walk_forward_folds.csv,True,28,18,
locked_holdout_results,locked_holdout_results.csv,True,1,28,
ic_decay_results,ic_decay_results.csv,True,10,9,
robustness_plateau_analysis,robustness_plateau_analysis.csv,True,1,12,
rolling_feature_ic,rolling_feature_ic.csv,True,1206,9,2026-05-15
alpha_decay_curve,alpha_decay_curve.csv,True,18,9,
structural_break_results,structural_break_results.csv,True,8,13,
feature_distribution_drift,feature_distribution_drift.csv,True,8,10,
garch_model_comparison,garch_model_comparison.csv,True,7,13,
hmm_incremental_portfolio_results,hmm_incremental_portfolio_results.csv,True,4,18,
governed_experiment_registry,governed_experiment_registry.csv,True,3,13,
frozen_champion_registry,frozen_champion_registry.csv,True,2,13,
anti_overfitting_governance,anti_overfitting_governance.csv,True,1,12,
out_of_sample_governance,out_of_sample_governance.csv,True,1,13,
parameter_governance,parameter_governance.csv,True,1,6,
alpha_decay_governance,alpha_decay_governance.csv,True,1,9,
parameter_stability_map,parameter_stability_map.csv,True,900,25,
parameter_sensitivity_results,parameter_sensitivity_results.csv,True,900,25,
hmm_model_comparison,hmm_model_comparison.csv,True,3,18,
growth_system_integrity_report,growth_system_integrity_report.txt,True,0,0,
growth_pipeline_integrity_report,growth_pipeline_integrity_report.csv,True,13,3,
growth_pipeline_stage_validation,growth_pipeline_stage_validation.csv,True,15,7,
growth_rebalance_parity_governance,growth_rebalance_parity_governance.csv,True,1,7,
growth_canonical_governance,growth_canonical_governance.csv,True,1,9,
governance_incident_registry,governance_incident_registry.csv,True,5,10,2026-07-13
phase102_report,phase102_official_accounting_report.txt,True,0,0,
phase109_report,phase109_risk_terminal_report.txt,True,0,0,
phase110_report,phase110_execution_terminal_report.txt,True,0,0,
phase111_report,phase111_research_terminal_report.txt,True,0,0,
growth_paper_governance_history,growth_paper_governance_history.csv,True,19,39,2026-08-13
canonical_price_history,canonical_price_history.csv,True,5,8,2026-08-13
quant_lab_source_audit,quant_lab_source_audit.csv,True,14,7,
quant_lab_surface_integrity,quant_lab_surface_integrity.csv,True,12,11,
quant_lab_performance_audit,quant_lab_performance_audit.csv,True,5,3,
phase114_report,phase114_quant_lab_report.txt,True,0,0,
historical_replay_source_audit,historical_replay_source_audit.csv,True,32,9,
historical_replay_integrity,historical_replay_integrity.csv,True,2,9,2026-07-13
historical_replay_validation,historical_replay_validation.csv,True,2,11,2026-07-13
phase115_report,phase115_historical_replay_report.txt,True,0,0,
decision_engine_source_audit,decision_engine_source_audit.csv,True,23,7,
decision_engine_integrity,decision_engine_integrity.csv,True,7,3,
decision_funnel_reconciliation,decision_funnel_reconciliation.csv,True,10,7,
phase113_report,phase113_decision_engine_report.txt,True,0,0,
mission_control_source_audit,mission_control_source_audit.csv,True,29,6,
mission_control_integrity,mission_control_integrity.csv,True,5,3,
mission_control_runtime,mission_control_runtime.csv,True,7,2,
phase116_report,phase116_mission_control_report.txt,True,0,0,
alert_engine_source_audit,alert_engine_source_audit.csv,True,142,6,
alert_engine_integrity,alert_engine_integrity.csv,True,1,10,
alert_history,alert_history.csv,True,10,18,
active_alerts,active_alerts.csv,True,5,18,
phase117_report,phase117_alert_engine_report.txt,True,0,0,
alpha_attribution,alpha_attribution.csv,True,11,6,
factor_contribution_phase120,factor_contribution.csv,True,10,5,
forecast_analysis_phase120,forecast_analysis.csv,True,6,2,
ranking_analysis_phase120,ranking_analysis.csv,True,53,5,
position_sizing_analysis_phase120,position_sizing_analysis.csv,True,1677,6,2026-06-10
cash_drag_analysis_phase120,cash_drag_analysis.csv,True,878,6,2026-06-09
turnover_analysis_phase120,turnover_analysis.csv,True,1,4,
cost_attribution_phase120,cost_attribution.csv,True,2,3,
holding_period_analysis_phase120,holding_period_analysis.csv,True,113,6,
alpha_reconciliation,alpha_reconciliation.csv,True,1,5,
alpha_attribution_integrity,alpha_attribution_integrity.csv,True,7,3,
phase120_report,phase120_alpha_attribution_report.txt,True,0,0,
